,GraduationPercentageRate,HouseholdIncome,FundingPerStudent,DropoutPercentageRate,Percentage of Minority Students,DistrictName
337,91,99576.0,23636.09,4,34.9,LINDENHURST UFSD
338,92,55901.5,20676.12,0,2.5,LISBON CSD
339,79,54676.2,19877.83,17,10.0,LITTLE FALLS CITY SCHOOL DISTRICT
341,84,70631.3,18169.54,5,28.7,LIVERPOOL CSD
342,74,63833.2,30012.19,10,20.5,LIVINGSTON MANOR CSD
343,98,66544.8,19693.89,1,5.9,LIVONIA CSD
344,89,60823.0,18128.21,2,29.5,LOCKPORT CITY SCHOOL DISTRICT
345,97,123948.4,37089.06,0,26.8,LOCUST VALLEY CSD
346,97,112522.0,31355.75,1,41.9,LONG BEACH CITY SCHOOL DISTRICT
348,89,98875.1,21996.25,5,54.6,LONGWOOD CSD
350,95,62542.2,19158.07,5,6.9,LYME CSD
351,97,115458.2,26396.92,1,32.9,LYNBROOK UFSD
353,96,54853.2,20760.99,4,12.1,LYNDONVILLE CSD
354,74,53364.0,25724.35,14,25.5,LYONS CSD
355,94,61093.7,18344.65,3,1.8,MADISON CSD
356,93,60148.9,19452.88,2,3.5,MADRID-WADDINGTON CSD
357,94,110562.0,26934.25,2,28.5,MAHOPAC CSD
358,89,55963.2,15937.75,7,12.4,MAINE-ENDWELL CSD
359,87,58174.6,20754.3,4,3.4,MALONE CSD
360,92,124833.8,28071.16,3,82.0,MALVERNE UFSD
361,94,144161.5,22853.8,2,32.2,MAMARONECK UFSD
363,98,146793.2,25655.38,0,35.9,MANHASSET UFSD
364,98,59716.7,21017.92,0,3.4,MARATHON CSD
365,92,76931.4,19566.23,3,4.9,MARCELLUS CSD
366,88,58460.8,25293.61,8,29.4,MARGARETVILLE CSD
367,86,68890.7,22443.32,4,13.2,MARION CSD
368,91,77276.4,21764.9,4,37.2,MARLBORO CSD
369,98,133976.5,25406.75,1,10.6,MASSAPEQUA UFSD
370,84,51442.0,16440.97,7,14.3,MASSENA CSD
371,93,97980.4,31170.72,1,23.0,MATTITUCK-CUTCHOGUE UFSD
372,90,58933.3,18856.31,4,6.2,MAYFIELD CSD
373,89,59645.8,18417.53,5,4.6,MCGRAW CSD
374,94,75677.8,16937.42,4,11.2,MECHANICVILLE CITY SCHOOL DISTRICT
375,84,57023.6,18543.05,8,22.6,MEDINA CSD
378,90,62851.0,21774.73,3,5.7,MEXICO CSD
379,91,109711.9,22520.78,4,40.8,MIDDLE COUNTRY CSD
380,93,64995.6,26103.54,4,3.2,MIDDLEBURGH CSD
381,83,86565.0,19264.71,9,87.3,MIDDLETOWN CITY SCHOOL DISTRICT
382,88,63726.3,24297.78,4,4.2,MILFORD CSD
383,96,83433.0,26186.89,0,22.0,MILLBROOK CSD
384,97,119062.3,24358.13,1,14.5,MILLER PLACE UFSD
385,94,131102.6,28437.39,2,49.2,MINEOLA UFSD
386,40,54737.5,41834.28,20,7.1,MINERVA CSD
387,89,82132.6,19866.22,1,25.9,MINISINK VALLEY CSD
388,91,106537.3,21906.32,4,52.5,MONROE-WOODBURY CSD
390,83,67153.5,23954.2,7,58.2,MONTICELLO CSD
391,84,65803.2,18050.12,9,4.2,MORAVIA CSD
392,89,44562.4,20297.03,6,0.8,MORIAH CSD
393,77,62279.2,23527.09,0,8.7,MORRIS CSD
394,82,52118.4,21795.55,14,4.3,MORRISTOWN CSD
395,88,63390.0,20737.05,8,7.7,MORRISVILLE-EATON CSD
396,86,60102.3,19200.39,8,3.9,MOUNT MARKHAM CSD
403,94,107895.2,25962.31,1,53.1,NANUET UFSD
404,87,58002.9,17557.81,4,3.0,NAPLES CSD
405,97,62441.1,17848.92,1,14.8,NEW HARTFORD CSD
407,92,87238.2,9766.29,5,7.8,NEW LEBANON CSD
408,94,69680.6,25094.98,3,24.7,NEW PALTZ CSD
409,80,147819.1,22932.93,3,74.9,NEW ROCHELLE CITY SCHOOL DISTRICT
411,88,55895.2,20106.84,9,29.7,NEWARK CSD
412,88,61204.4,18004.61,5,4.4,NEWARK VALLEY CSD
413,78,77814.0,21654.67,10,83.4,NEWBURGH CITY SCHOOL DISTRICT
414,100,44688.0,59290.5,0,5.9,NEWCOMB CSD
415,92,60037.5,20242.16,5,7.3,NEWFANE CSD
416,84,59421.7,22438.23,6,19.5,NEWFIELD CSD
417,64,40596.2,16647.7,24,61.0,NIAGARA FALLS CITY SCHOOL DISTRICT
418,90,62356.5,17860.17,5,21.1,NIAGARA-WHEATFIELD CSD
419,94,85111.4,15876.85,1,31.3,NISKAYUNA CSD
420,93,109923.6,25157.29,4,64.0,NORTH BABYLON UFSD
422,92,62133.5,21209.35,4,9.1,NORTH COLLINS CSD
423,93,70709.1,16378.28,3,37.1,NORTH COLONIE CSD
426,87,56033.2,21632.65,6,13.3,NORTH ROSE-WOLCOTT CSD
427,96,122803.6,34752.96,2,25.9,NORTH SALEM CSD
428,96,127171.8,36171.47,0,23.1,NORTH SHORE CSD
429,87,69545.3,15859.19,5,19.1,NORTH SYRACUSE CSD
430,86,69119.0,17409.1,7,10.9,NORTH TONAWANDA CITY SCHOOL DISTRICT
431,92,61106.2,22431.62,5,8.9,NORTH WARREN CSD
432,87,73045.2,26227.2,6,30.5,NORTHEAST CSD
433,81,56574.2,22148.23,9,4.2,NORTHEASTERN CLINTON CSD
434,86,56522.2,25473.35,9,1.0,NORTHERN ADIRONDACK CSD
435,96,131766.0,28285.29,2,19.0,NORTHPORT-EAST NORTHPORT UFSD
436,94,59445.5,20631.26,3,8.1,NORTHVILLE CSD
437,86,53188.4,18999.6,4,9.4,NORWICH CITY SCHOOL DISTRICT
438,90,54853.2,20364.35,5,3.8,NORWOOD-NORFOLK CSD
440,91,124980.7,24606.88,5,57.8,NYACK UFSD
474,85,60528.5,18394.15,3,6.7,OAKFIELD-ALABAMA CSD
475,94,115829.3,22535.44,0,29.4,OCEANSIDE UFSD
476,93,57681.7,18234.83,4,6.6,ODESSA-MONTOUR CSD
477,80,53915.0,22365.24,12,2.0,OGDENSBURG CITY SCHOOL DISTRICT
478,74,47782.0,18698.78,10,18.6,OLEAN CITY SCHOOL DISTRICT
479,85,63358.4,18768.6,9,11.6,ONEIDA CITY SCHOOL DISTRICT
480,84,53729.0,17884.13,7,21.6,ONEONTA CITY SCHOOL DISTRICT
481,90,71562.8,19020.04,6,27.3,ONONDAGA CSD
482,87,68467.2,38615.96,4,25.3,ONTEORA CSD
484,97,73334.8,18291.68,0,7.4,ORCHARD PARK CSD
485,92,69966.8,20301.77,2,8.1,ORISKANY CSD
486,80,127406.3,22422.6,2,79.6,OSSINING UFSD
487,81,58733.3,19998.39,8,10.3,OSWEGO CITY SCHOOL DISTRICT
488,87,57785.5,21458.71,5,11.9,OTEGO-UNADILLA CSD
490,92,64451.6,18179.7,3,5.0,OWEGO-APALACHIN CSD
492,95,127665.7,31106.27,3,36.9,OYSTER BAY-EAST NORWICH CSD
494,91,75147.0,18477.61,7,7.4,PALMYRA-MACEDON CSD
495,100,56309.8,21679.03,0,5.5,PANAMA CSD
496,97,52445.8,25102.89,0,1.1,PARISHVILLE-HOPKINTON CSD
497,86,104073.8,22688.05,4,56.0,PATCHOGUE-MEDFORD UFSD
498,83,63204.1,21512.28,11,5.2,PAVILION CSD
499,93,106711.7,28302.88,0,29.4,PAWLING CSD
500,96,133580.0,23852.0,1,23.1,PEARL RIVER UFSD
501,80,98254.5,22977.07,8,93.1,PEEKSKILL CITY SCHOOL DISTRICT
502,98,107724.7,22511.94,0,34.7,PELHAM UFSD
503,92,64466.6,21102.75,2,6.5,PEMBROKE CSD
504,97,76003.1,16744.56,1,17.6,PENFIELD CSD
505,87,56688.6,22166.64,8,7.5,PENN YAN CSD
506,92,58877.4,18437.89,3,9.8,PERRY CSD
507,89,64691.1,21325.68,7,5.8,PERU CSD
508,85,61560.7,18223.93,11,10.5,PHELPS-CLIFTON SPRINGS CSD
509,87,70405.7,21337.44,8,5.2,PHOENIX CSD
510,91,91832.3,20058.09,4,30.7,PINE BUSH CSD
511,89,77546.2,28458.63,5,21.6,PINE PLAINS CSD
512,66,52078.8,24415.35,15,9.7,PINE VALLEY CSD (SOUTH DAYTON)
513,98,90935.4,19861.85,0,26.9,PITTSFORD CSD
514,95,125001.0,26342.58,0,13.8,PLAINEDGE UFSD
515,96,150691.0,26869.5,0,33.7,PLAINVIEW-OLD BETHPAGE CSD
516,84,63237.0,21291.56,8,14.2,PLATTSBURGH CITY SCHOOL DISTRICT
517,93,156774.0,25303.29,1,24.3,PLEASANTVILLE UFSD
519,93,66199.2,23870.17,7,7.0,POLAND CSD
520,86,58286.6,23478.26,4,5.5,PORT BYRON CSD
521,82,147261.5,17876.84,5,87.4,PORT CHESTER-RYE UFSD
522,96,133935.3,35628.81,1,23.9,PORT JEFFERSON UFSD
523,86,71534.5,25319.9,6,34.2,PORT JERVIS CITY SCHOOL DISTRICT
524,93,131163.0,25331.03,2,37.0,PORT WASHINGTON UFSD
525,95,49672.6,14307.29,3,6.6,PORTVILLE CSD
526,95,61014.0,20234.62,3,8.9,POTSDAM CSD
527,60,68081.0,21427.37,19,93.7,POUGHKEEPSIE CITY SCHOOL DISTRICT
528,84,49466.2,18240.82,4,8.1,PRATTSBURGH CSD
529,87,57120.5,20825.86,4,3.8,PULASKI CSD
531,97,117689.0,26817.67,1,31.5,PUTNAM VALLEY CSD
532,90,62680.8,16548.22,3,7.0,QUEENSBURY UFSD
535,99,47460.4,18397.12,0,11.0,RANDOLPH CSD
536,88,78473.9,18848.63,6,19.1,RAVENA-COEYMANS-SELKIRK CSD
537,88,54821.5,21345.38,10,5.0,RED CREEK CSD
538,91,86355.9,24227.11,4,16.5,RED HOOK CSD
539,87,71187.4,26257.19,0,3.5,REMSEN CSD
541,84,77000.0,17978.0,5,44.6,RENSSELAER CITY SCHOOL DISTRICT
542,93,89250.5,30026.67,1,16.9,RHINEBECK CSD
543,92,57788.7,24034.39,8,5.5,RICHFIELD SPRINGS CSD
545,76,82145.0,18810.89,13,67.0,RIVERHEAD CSD
546,68,53004.4,19885.5,13,90.4,ROCHESTER CITY SCHOOL DISTRICT
547,98,107137.0,29490.95,0,26.5,ROCKVILLE CENTRE UFSD
548,95,119852.8,24991.0,4,22.1,ROCKY POINT UFSD
549,82,64102.1,17823.87,8,21.0,ROME CITY SCHOOL DISTRICT
550,82,55966.8,20890.39,6,11.1,ROMULUS CSD
551,88,71359.3,28695.99,8,15.9,RONDOUT VALLEY CSD
552,75,112783.2,20300.43,16,99.9,ROOSEVELT UFSD
553,89,55007.2,30693.78,0,13.6,ROSCOE CSD
554,99,165746.0,29181.7,1,32.2,ROSLYN UFSD
555,91,63371.0,15118.77,3,23.9,ROTTERDAM-MOHONASEN CSD
556,86,60713.0,34739.37,0,4.2,ROXBURY CSD
557,92,68789.0,16056.73,6,8.7,ROYALTON-HARTLAND CSD
558,92,85732.0,19635.2,3,42.6,RUSH-HENRIETTA CSD
559,96,140148.3,25422.18,0,20.6,RYE CITY SCHOOL DISTRICT
560,93,146139.0,22836.77,1,37.5,RYE NECK UFSD
561,94,108960.8,20861.5,2,30.0,SACHEM CSD
562,90,62790.8,18003.63,5,10.8,SACKETS HARBOR CSD
563,89,98489.0,38192.07,3,27.7,SAG HARBOR UFSD
565,79,45555.2,24617.42,3,50.5,SALAMANCA CITY SCHOOL DISTRICT
566,78,66846.8,19489.37,12,5.3,SALEM CSD
567,85,48057.6,26274.61,6,67.7,SALMON RIVER CSD
568,90,57632.4,25117.81,3,4.6,SANDY CREEK CSD
569,90,62700.3,22036.63,7,3.6,SARANAC CSD
570,93,63221.1,24587.99,4,2.8,SARANAC LAKE CSD
571,92,84608.2,17059.93,4,11.8,SARATOGA SPRINGS CITY SCHOOL DISTRICT
572,84,57250.5,21994.66,10,24.6,SAUGERTIES CSD
573,93,67379.9,17140.41,3,7.6,SAUQUOIT VALLEY CSD
574,97,116648.0,27033.14,0,12.9,SAYVILLE UFSD
575,98,151912.0,28842.09,1,36.4,SCARSDALE UFSD
576,90,77453.1,18953.56,4,14.7,SCHALMONT CSD
577,74,59576.0,18266.0,11,79.6,SCHENECTADY CITY SCHOOL DISTRICT
578,81,60163.8,21163.27,9,5.8,SCHENEVUS CSD
579,97,91121.2,21104.26,0,7.9,SCHODACK CSD
580,89,66572.6,20304.39,4,5.5,SCHOHARIE CSD
581,100,63459.4,25128.01,0,1.5,SCHROON LAKE CSD
582,96,74302.6,19497.47,2,4.9,SCHUYLERVILLE CSD
583,81,47109.7,25594.63,16,3.0,SCIO CSD
584,88,63474.5,19185.24,6,10.3,SCOTIA-GLENVILLE CSD
585,95,137155.0,26115.27,2,12.4,SEAFORD UFSD
586,87,53409.0,16786.23,6,17.9,SENECA FALLS CSD
588,94,55067.4,38377.69,6,7.1,SHARON SPRINGS CSD
589,96,98213.0,48559.74,4,33.9,SHELTER ISLAND UFSD
590,92,89906.0,15279.98,3,25.3,SHENENDEHOWA CSD
591,86,52390.4,20802.82,3,3.9,SHERBURNE-EARLVILLE CSD
592,91,55302.8,20545.12,3,4.0,SHERMAN CSD
593,95,66556.1,16933.8,3,5.2,SHERRILL CITY SCHOOL DISTRICT
594,94,107032.2,26463.85,1,13.3,SHOREHAM-WADING RIVER CSD
595,93,49572.9,19569.51,4,13.3,SIDNEY CSD
596,89,49337.0,19547.02,4,28.8,SILVER CREEK CSD
597,94,72358.3,19456.71,2,6.0,SKANEATELES CSD
598,95,122502.7,24979.97,0,19.6,SMITHTOWN CSD
599,86,58886.4,20747.89,4,40.6,SODUS CSD
600,89,58748.0,18811.28,1,28.6,SOLVAY UFSD
601,94,140010.2,27456.96,0,16.9,SOMERS CSD
602,94,79064.1,18621.48,2,35.5,SOUTH COLONIE CSD
603,83,91574.8,26730.96,8,63.1,SOUTH COUNTRY CSD
604,88,72290.7,15609.87,5,8.5,SOUTH GLENS FALLS CSD
605,89,126591.0,23839.17,3,62.1,SOUTH HUNTINGTON UFSD
606,88,62194.0,15009.88,3,6.0,SOUTH JEFFERSON CSD
607,94,59543.1,20685.26,0,7.3,SOUTH KORTRIGHT CSD
608,85,57142.7,21091.9,6,5.1,SOUTH LEWIS CSD
609,93,122988.0,27002.95,2,32.4,SOUTH ORANGETOWN CSD
610,90,60471.5,28768.85,7,5.0,SOUTH SENECA CSD
611,89,126957.2,35375.27,2,55.6,SOUTHAMPTON UFSD
612,86,70813.8,20456.5,9,17.5,SOUTHERN CAYUGA CSD
613,87,97076.0,34388.43,9,37.7,SOUTHOLD UFSD
614,92,52045.2,16269.54,4,12.2,SOUTHWESTERN CSD AT JAMESTOWN
615,90,68081.0,28094.81,4,41.9,SPACKENKILL UFSD
616,81,57482.9,21091.38,8,5.1,SPENCER-VAN ETTEN CSD
617,91,70703.0,18387.91,4,20.4,SPENCERPORT CSD
621,71,53572.1,25978.35,10,7.2,STAMFORD CSD
622,93,69500.0,14872.59,3,6.8,STARPOINT CSD
623,84,82021.4,19288.45,11,5.7,STILLWATER CSD
624,90,55979.5,20271.97,7,7.3,STOCKBRIDGE VALLEY CSD
625,92,91666.0,27125.39,4,49.2,SUFFERN CSD
626,90,63396.9,26133.65,8,15.1,SULLIVAN WEST CSD
627,87,54191.2,20962.12,7,10.4,SUSQUEHANNA VALLEY CSD
628,94,74452.6,19798.51,3,37.7,SWEET HOME CSD
629,99,151591.5,30765.31,0,47.9,SYOSSET CSD
630,71,49428.5,19030.39,11,78.1,SYRACUSE CITY SCHOOL DISTRICT
631,75,71588.8,24336.16,12,20.2,TACONIC HILLS CSD
632,95,57228.6,19397.93,3,8.4,THOUSAND ISLANDS CSD
633,96,124953.4,31655.63,1,22.9,THREE VILLAGE CSD
634,91,80308.2,23812.19,5,1.9,TICONDEROGA CSD
635,91,59570.1,15563.69,4,2.9,TIOGA CSD
636,93,58954.0,16138.8,3,13.0,TONAWANDA CITY SCHOOL DISTRICT
637,100,65457.2,26872.8,0,3.5,TOWN OF WEBB UFSD
638,75,58629.6,27786.88,19,18.9,TRI-VALLEY CSD
639,88,57325.0,19801.65,7,60.3,TROY CITY SCHOOL DISTRICT
640,91,56880.2,20889.47,0,14.6,TRUMANSBURG CSD
642,99,110517.8,25010.58,0,33.6,TUCKAHOE UFSD
643,81,72185.5,19646.46,3,6.5,TULLY CSD
644,89,55435.5,20549.25,2,6.0,TUPPER LAKE CSD
645,100,103987.0,45079.45,0,35.6,TUXEDO UFSD
647,84,53665.1,22294.87,3,4.5,UNADILLA VALLEY CSD
648,94,66015.2,18831.95,0,10.4,UNION SPRINGS CSD
649,88,57793.5,18861.64,5,32.1,UNION-ENDICOTT CSD
650,78,111490.7,24253.37,11,98.5,UNIONDALE UFSD
651,73,55937.3,15176.09,13,70.9,UTICA CITY SCHOOL DISTRICT
652,93,106481.0,30131.68,1,46.0,VALHALLA UFSD
653,92,91179.4,21709.36,4,39.5,VALLEY CSD (MONTGOMERY)
659,93,65047.7,18422.74,2,22.8,VESTAL CSD
660,95,82661.3,13662.02,2,17.4,VICTOR CSD
661,96,96354.5,17552.5,2,10.0,VOORHEESVILLE CSD
663,90,77384.9,21761.44,3,34.8,WALLKILL CSD
664,86,54078.0,20436.21,11,4.4,WALTON CSD
665,98,143313.0,24819.0,0,14.9,WANTAGH UFSD
666,94,90151.1,19359.75,3,31.2,WAPPINGERS CSD
667,85,64830.4,23590.05,8,6.3,WARRENSBURG CSD
668,92,59166.6,18447.56,7,8.4,WARSAW CSD
669,95,101545.5,18948.67,1,25.2,WARWICK VALLEY CSD
670,94,104425.2,20640.42,2,40.3,WASHINGTONVILLE CSD
671,90,70068.0,23921.21,5,10.0,WATERFORD-HALFMOON UFSD
672,90,54392.7,20639.44,4,12.5,WATERLOO CSD
673,77,53675.7,14799.55,14,30.8,WATERTOWN CITY SCHOOL DISTRICT
674,93,69413.4,19097.1,0,2.6,WATERVILLE CSD
675,88,52722.0,13712.89,7,54.3,WATERVLIET CITY SCHOOL DISTRICT
676,95,59327.6,21000.88,1,8.6,WATKINS GLEN CSD
677,90,54707.5,17881.28,8,4.9,WAVERLY CSD
678,94,56342.6,19889.88,4,3.6,WAYLAND-COHOCTON CSD
679,92,80629.7,18290.82,4,6.9,WAYNE CSD
680,95,75512.0,17463.98,1,17.3,WEBSTER CSD
681,96,57784.0,21378.37,2,8.0,WEEDSPORT CSD
682,89,61267.0,32101.51,6,3.0,WELLS CSD
683,82,54473.6,19328.04,6,5.6,WELLSVILLE CSD
684,92,108718.3,24688.51,4,41.9,WEST BABYLON UFSD
685,96,58483.0,21996.67,2,4.0,WEST CANADA VALLEY CSD
686,95,76938.0,16351.6,0,14.1,WEST GENESEE CSD
687,89,110161.0,27633.69,6,77.2,WEST HEMPSTEAD UFSD
688,93,51638.0,17041.73,2,29.8,WEST IRONDEQUOIT CSD
689,98,116003.0,24902.21,0,17.2,WEST ISLIP UFSD
690,91,59280.0,16393.8,4,15.0,WEST SENECA CSD
691,79,58744.2,36386.31,14,4.7,WEST VALLEY CSD
692,84,152112.0,24100.6,11,98.0,WESTBURY UFSD
693,80,49503.3,22096.84,4,9.3,WESTFIELD CSD
694,93,113387.3,25836.22,3,35.7,WESTHAMPTON BEACH UFSD
695,96,66212.5,17204.54,3,16.4,WESTHILL CSD
696,95,65308.9,20977.82,0,5.0,WESTMORELAND CSD
697,88,67558.0,24615.3,3,30.2,WHEATLAND-CHILI CSD
699,91,106715.3,27671.34,3,78.1,WHITE PLAINS CITY SCHOOL DISTRICT
700,76,64743.8,20970.97,16,2.8,WHITEHALL CSD
701,94,65544.6,17518.67,4,10.1,WHITESBORO CSD
702,93,45024.7,25735.4,0,2.8,WHITESVILLE CSD
703,78,55161.9,20246.09,6,3.0,WHITNEY POINT CSD
704,89,93855.7,20200.92,4,59.9,WILLIAM FLOYD UFSD
705,94,71056.0,18664.46,1,18.9,WILLIAMSON CSD
706,95,89129.3,16128.34,2,26.9,WILLIAMSVILLE CSD
707,80,60185.2,29014.65,5,8.7,WILLSBORO CSD
708,91,63643.7,19651.21,8,9.0,WILSON CSD
709,95,53107.0,30935.23,5,15.5,WINDHAM-ASHLAND-JEWETT CSD
710,92,55349.8,20400.27,4,9.0,WINDSOR CSD
711,100,54057.5,22629.71,0,2.5,WORCESTER CSD
712,56,98069.0,21454.95,17,99.0,WYANDANCH UFSD
715,91,94866.4,18820.45,3,84.5,YONKERS CITY SCHOOL DISTRICT
716,97,61273.5,19869.81,2,5.4,YORK CSD
717,89,58648.5,17445.73,6,5.0,YORKSHIRE-PIONEER CSD
718,97,115881.2,24424.21,1,27.8,YORKTOWN CSD
