,Unnamed: 0.1,Unnamed: 0,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome
478,478,486,OLEAN CITY SCHOOL DISTRICT,74,10,18698.78,1925,1008,917,18.6,47782.0
479,479,487,ONEIDA CITY SCHOOL DISTRICT,85,9,18768.6,1857,923,934,11.6,63358.4
480,480,488,ONEONTA CITY SCHOOL DISTRICT,84,7,17884.13,1734,885,849,21.6,53729.0
481,481,489,ONONDAGA CSD,90,6,19020.04,768,369,399,27.3,71562.8
482,482,490,ONTEORA CSD,87,4,38615.96,1201,597,604,25.3,68467.2
483,483,492,OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CS,85,9,21080.92,689,335,354,3.0,
484,484,493,ORCHARD PARK CSD,97,0,18291.68,4649,2318,2331,7.4,73334.8
485,485,494,ORISKANY CSD,92,2,20301.77,569,294,275,8.1,69966.8
486,486,495,OSSINING UFSD,80,2,22422.6,4774,2464,2310,79.6,127406.3
487,487,496,OSWEGO CITY SCHOOL DISTRICT,81,8,19998.39,3626,1870,1756,10.3,58733.3
488,488,497,OTEGO-UNADILLA CSD,87,5,21458.71,716,338,378,11.9,57785.5
489,489,498,OTSELIC VALLEY CSD,94,3,27026.81,291,142,149,1.7,
490,490,499,OWEGO-APALACHIN CSD,92,3,18179.7,1922,990,932,5.0,64451.6
491,491,500,OXFORD ACADEMY & CSD,95,2,22363.77,706,349,357,7.8,
492,492,501,OYSTER BAY-EAST NORWICH CSD,95,3,31106.27,1528,776,752,36.9,127665.7
493,493,502,OYSTERPONDS UFSD,—,—,39628.6,65,29,36,30.8,79892.5
494,494,503,PALMYRA-MACEDON CSD,91,7,18477.61,1789,927,862,7.4,75147.0
495,495,504,PANAMA CSD,100,0,21679.03,436,223,213,5.5,56309.8
496,496,505,PARISHVILLE-HOPKINTON CSD,97,0,25102.89,365,187,178,1.1,52445.8
497,497,506,PATCHOGUE-MEDFORD UFSD,86,4,22688.05,7349,3796,3553,56.0,104073.8
498,498,507,PAVILION CSD,83,11,21512.28,638,332,306,5.2,63204.1
499,499,508,PAWLING CSD,93,0,28302.88,1114,571,543,29.4,106711.7
500,500,509,PEARL RIVER UFSD,96,1,23852.0,2361,1207,1154,23.1,133580.0
501,501,510,PEEKSKILL CITY SCHOOL DISTRICT,80,8,22977.07,3352,1791,1561,93.1,98254.5
502,502,511,PELHAM UFSD,98,0,22511.94,2913,1515,1398,34.7,107724.7
503,503,512,PEMBROKE CSD,92,2,21102.75,910,435,475,6.5,64466.6
504,504,513,PENFIELD CSD,97,1,16744.56,4587,2333,2254,17.6,76003.1
505,505,514,PENN YAN CSD,87,8,22166.64,1312,640,672,7.5,56688.6
506,506,515,PERRY CSD,92,3,18437.89,772,389,383,9.8,58877.4
507,507,516,PERU CSD,89,7,21325.68,1822,948,874,5.8,64691.1
508,508,517,PHELPS-CLIFTON SPRINGS CSD,85,11,18223.93,1549,809,740,10.5,61560.7
509,509,518,PHOENIX CSD,87,8,21337.44,1644,839,805,5.2,70405.7
510,510,519,PINE BUSH CSD,91,4,20058.09,4925,2563,2362,30.7,91832.3
511,511,520,PINE PLAINS CSD,89,5,28458.63,855,425,430,21.6,77546.2
512,512,521,PINE VALLEY CSD (SOUTH DAYTON),66,15,24415.35,485,243,242,9.7,52078.8
513,513,522,PITTSFORD CSD,98,0,19861.85,5588,2876,2712,26.9,90935.4
514,514,523,PLAINEDGE UFSD,95,0,26342.58,2823,1454,1369,13.8,125001.0
515,515,524,PLAINVIEW-OLD BETHPAGE CSD,96,0,26869.5,4955,2547,2408,33.7,150691.0
516,516,525,PLATTSBURGH CITY SCHOOL DISTRICT,84,8,21291.56,1800,935,865,14.2,63237.0
517,517,526,PLEASANTVILLE UFSD,93,1,25303.29,1695,877,818,24.3,156774.0
518,518,527,POCANTICO HILLS CSD,—,—,53858.3,285,137,148,61.4,126171.8
519,519,528,POLAND CSD,93,7,23870.17,487,242,245,7.0,66199.2
520,520,529,PORT BYRON CSD,86,4,23478.26,728,356,372,5.5,58286.6
521,521,530,PORT CHESTER-RYE UFSD,82,5,17876.84,4775,2502,2273,87.4,147261.5
522,522,531,PORT JEFFERSON UFSD,96,1,35628.81,1022,526,496,23.9,133935.3
523,523,532,PORT JERVIS CITY SCHOOL DISTRICT,86,6,25319.9,2444,1245,1199,34.2,71534.5
524,524,533,PORT WASHINGTON UFSD,93,2,25331.03,5364,2749,2615,37.0,131163.0
525,525,534,PORTVILLE CSD,95,3,14307.29,986,469,517,6.6,49672.6
526,526,535,POTSDAM CSD,95,3,20234.62,1234,667,567,8.9,61014.0
527,527,536,POUGHKEEPSIE CITY SCHOOL DISTRICT,60,19,21427.37,4154,2184,1970,93.7,68081.0
528,528,537,PRATTSBURGH CSD,84,4,18240.82,360,179,181,8.1,49466.2
529,529,538,PULASKI CSD,87,4,20825.86,924,465,459,3.8,57120.5
530,530,539,PUTNAM CSD,—,—,23009.37,28,19,9,0.0,68670.0
531,531,540,PUTNAM VALLEY CSD,97,1,26817.67,1598,808,790,31.5,117689.0
532,532,542,QUEENSBURY UFSD,90,3,16548.22,3135,1622,1513,7.0,62680.8
533,533,543,QUOGUE UFSD,—,—,69868.4,77,38,39,23.4,104077.7
534,534,544,RANDOLPH ACAD UFSD,—,—,,164,118,46,37.2,
535,535,545,RANDOLPH CSD,99,0,18397.12,846,421,425,11.0,47460.4
536,536,546,RAVENA-COEYMANS-SELKIRK CSD,88,6,18848.63,1768,895,873,19.1,78473.9
537,537,547,RED CREEK CSD,88,10,21345.38,783,424,359,5.0,54821.5
538,538,548,RED HOOK CSD,91,4,24227.11,1766,918,848,16.5,86355.9
539,539,549,REMSEN CSD,87,0,26257.19,405,216,189,3.5,71187.4
540,540,550,REMSENBURG-SPEONK UFSD,—,—,58547.76,132,66,66,27.3,106765.3
541,541,551,RENSSELAER CITY SCHOOL DISTRICT,84,5,17978.0,1028,524,504,44.6,77000.0
542,542,552,RHINEBECK CSD,93,1,30026.67,944,466,478,16.9,89250.5
543,543,553,RICHFIELD SPRINGS CSD,92,8,24034.39,402,223,179,5.5,57788.7
544,544,555,RIPLEY CSD,—,—,33327.7,123,61,62,4.9,43987.0
545,545,556,RIVERHEAD CSD,76,13,18810.89,5829,3028,2801,67.0,82145.0
546,546,557,ROCHESTER CITY SCHOOL DISTRICT,68,13,19885.5,25017,12904,12113,90.4,53004.4
547,547,558,ROCKVILLE CENTRE UFSD,98,0,29490.95,3579,1855,1724,26.5,107137.0
548,548,559,ROCKY POINT UFSD,95,4,24991.0,2905,1441,1464,22.1,119852.8
549,549,560,ROME CITY SCHOOL DISTRICT,82,8,17823.87,5320,2736,2584,21.0,64102.1
550,550,561,ROMULUS CSD,82,6,20890.39,434,210,224,11.1,55966.8
551,551,562,RONDOUT VALLEY CSD,88,8,28695.99,1869,978,891,15.9,71359.3
552,552,563,ROOSEVELT UFSD,75,16,20300.43,3346,1780,1566,99.9,112783.2
553,553,564,ROSCOE CSD,89,0,30693.78,220,120,100,13.6,55007.2
554,554,565,ROSLYN UFSD,99,1,29181.7,3195,1622,1573,32.2,165746.0
555,555,566,ROTTERDAM-MOHONASEN CSD,91,3,15118.77,2798,1418,1380,23.9,63371.0
556,556,567,ROXBURY CSD,86,0,34739.37,239,112,127,4.2,60713.0
557,557,568,ROYALTON-HARTLAND CSD,92,6,16056.73,1206,587,619,8.7,68789.0
558,558,569,RUSH-HENRIETTA CSD,92,3,19635.2,5387,2725,2662,42.6,85732.0
559,559,570,RYE CITY SCHOOL DISTRICT,96,0,25422.18,3234,1670,1564,20.6,140148.3
560,560,571,RYE NECK UFSD,93,1,22836.77,1572,809,763,37.5,146139.0
561,561,572,SACHEM CSD,94,2,20861.5,12351,6266,6085,30.0,108960.8
562,562,573,SACKETS HARBOR CSD,90,5,18003.63,418,204,214,10.8,62790.8
563,563,574,SAG HARBOR UFSD,89,3,38192.07,919,461,458,27.7,98489.0
564,564,575,SAGAPONACK COMMON SCHOOL DISTRICT,—,—,55333.31,16,9,7,6.2,90326.0
565,565,576,SALAMANCA CITY SCHOOL DISTRICT,79,3,24617.42,1213,628,585,50.5,45555.2
566,566,577,SALEM CSD,78,12,19489.37,524,286,238,5.3,66846.8
567,567,578,SALMON RIVER CSD,85,6,26274.61,1389,703,686,67.7,48057.6
568,568,579,SANDY CREEK CSD,90,3,25117.81,742,396,346,4.6,57632.4
569,569,580,SARANAC CSD,90,7,22036.63,1395,714,681,3.6,62700.3
570,570,581,SARANAC LAKE CSD,93,4,24587.99,1150,602,548,2.8,63221.1
571,571,582,SARATOGA SPRINGS CITY SCHOOL DISTRICT,92,4,17059.93,6248,3164,3084,11.8,84608.2
572,572,583,SAUGERTIES CSD,84,10,21994.66,2449,1205,1244,24.6,57250.5
573,573,584,SAUQUOIT VALLEY CSD,93,3,17140.41,943,463,480,7.6,67379.9
574,574,585,SAYVILLE UFSD,97,0,27033.14,2822,1445,1377,12.9,116648.0
575,575,586,SCARSDALE UFSD,98,1,28842.09,4749,2450,2299,36.4,151912.0
576,576,587,SCHALMONT CSD,90,4,18953.56,1799,940,859,14.7,77453.1
577,577,588,SCHENECTADY CITY SCHOOL DISTRICT,74,11,18266.0,9243,4779,4464,79.6,59576.0
578,578,589,SCHENEVUS CSD,81,9,21163.27,330,177,153,5.8,60163.8
579,579,590,SCHODACK CSD,97,0,21104.26,900,465,435,7.9,91121.2
580,580,591,SCHOHARIE CSD,89,4,20304.39,889,469,420,5.5,66572.6
581,581,592,SCHROON LAKE CSD,100,0,25128.01,259,136,123,1.5,63459.4
582,582,593,SCHUYLERVILLE CSD,96,2,19497.47,1517,770,747,4.9,74302.6
583,583,594,SCIO CSD,81,16,25594.63,302,165,137,3.0,47109.7
584,584,595,SCOTIA-GLENVILLE CSD,88,6,19185.24,2371,1257,1114,10.3,63474.5
585,585,596,SEAFORD UFSD,95,2,26115.27,2247,1146,1101,12.4,137155.0
586,586,597,SENECA FALLS CSD,87,6,16786.23,1198,618,580,17.9,53409.0
587,587,598,SEWANHAKA CENTRAL HS DISTRICT,95,1,20338.62,8140,4213,3927,68.3,
588,588,599,SHARON SPRINGS CSD,94,6,38377.69,226,109,117,7.1,55067.4
589,589,600,SHELTER ISLAND UFSD,96,4,48559.74,192,99,93,33.9,98213.0
590,590,601,SHENENDEHOWA CSD,92,3,15279.98,9535,4806,4729,25.3,89906.0
591,591,602,SHERBURNE-EARLVILLE CSD,86,3,20802.82,1286,670,616,3.9,52390.4
592,592,603,SHERMAN CSD,91,3,20545.12,402,217,185,4.0,55302.8
593,593,604,SHERRILL CITY SCHOOL DISTRICT,95,3,16933.8,1805,951,854,5.2,66556.1
594,594,605,SHOREHAM-WADING RIVER CSD,94,1,26463.85,2039,1042,997,13.3,107032.2
595,595,606,SIDNEY CSD,93,4,19569.51,1057,550,507,13.3,49572.9
596,596,607,SILVER CREEK CSD,89,4,19547.02,1022,495,527,28.8,49337.0
597,597,608,SKANEATELES CSD,94,2,19456.71,1283,682,601,6.0,72358.3
598,598,609,SMITHTOWN CSD,95,0,24979.97,8398,4222,4176,19.6,122502.7
599,599,610,SODUS CSD,86,4,20747.89,965,512,453,40.6,58886.4
600,600,611,SOLVAY UFSD,89,1,18811.28,1380,695,685,28.6,58748.0
601,601,612,SOMERS CSD,94,0,27456.96,2862,1465,1397,16.9,140010.2
602,602,613,SOUTH COLONIE CSD,94,2,18621.48,4671,2335,2336,35.5,79064.1
603,603,614,SOUTH COUNTRY CSD,83,8,26730.96,4065,2111,1954,63.1,91574.8
604,604,615,SOUTH GLENS FALLS CSD,88,5,15609.87,2916,1522,1394,8.5,72290.7
605,605,616,SOUTH HUNTINGTON UFSD,89,3,23839.17,5849,3047,2802,62.1,126591.0
606,606,617,SOUTH JEFFERSON CSD,88,3,15009.88,1814,904,910,6.0,62194.0
607,607,618,SOUTH KORTRIGHT CSD,94,0,20685.26,330,170,160,7.3,59543.1
608,608,619,SOUTH LEWIS CSD,85,6,21091.9,976,493,483,5.1,57142.7
609,609,620,SOUTH ORANGETOWN CSD,93,2,27002.95,2910,1436,1474,32.4,122988.0
610,610,621,SOUTH SENECA CSD,90,7,28768.85,618,291,327,5.0,60471.5
611,611,622,SOUTHAMPTON UFSD,89,2,35375.27,1471,777,694,55.6,126957.2
612,612,623,SOUTHERN CAYUGA CSD,86,9,20456.5,664,331,333,17.5,70813.8
613,613,624,SOUTHOLD UFSD,87,9,34388.43,769,417,352,37.7,97076.0
614,614,625,SOUTHWESTERN CSD AT JAMESTOWN,92,4,16269.54,1300,703,597,12.2,52045.2
615,615,626,SPACKENKILL UFSD,90,4,28094.81,1448,751,697,41.9,68081.0
616,616,627,SPENCER-VAN ETTEN CSD,81,8,21091.38,831,420,411,5.1,57482.9
617,617,628,SPENCERPORT CSD,91,4,18387.91,3618,1876,1742,20.4,70703.0
618,618,629,SPRINGS UFSD,—,—,25059.64,668,365,303,61.7,109375.0
619,619,630,SPRINGVILLE-GRIFFITH INST CSD,96,1,19368.61,1647,843,804,5.6,
620,620,632,ST REGIS FALLS CSD,95,0,27120.59,249,125,124,8.0,
621,621,633,STAMFORD CSD,71,10,25978.35,263,117,146,7.2,53572.1
622,622,634,STARPOINT CSD,93,3,14872.59,2911,1468,1443,6.8,69500.0
623,623,635,STILLWATER CSD,84,11,19288.45,1014,509,505,5.7,82021.4
624,624,636,STOCKBRIDGE VALLEY CSD,90,7,20271.97,410,205,205,7.3,55979.5
625,625,637,SUFFERN CSD,92,4,27125.39,4012,2024,1988,49.2,91666.0
626,626,638,SULLIVAN WEST CSD,90,8,26133.65,1014,532,482,15.1,63396.9
627,627,639,SUSQUEHANNA VALLEY CSD,87,7,20962.12,1426,748,678,10.4,54191.2
628,628,640,SWEET HOME CSD,94,3,19798.51,3261,1742,1519,37.7,74452.6
629,629,641,SYOSSET CSD,99,0,30765.31,6580,3414,3166,47.9,151591.5
630,630,642,SYRACUSE CITY SCHOOL DISTRICT,71,11,19030.39,19011,9916,9095,78.1,49428.5
631,631,643,TACONIC HILLS CSD,75,12,24336.16,1205,612,593,20.2,71588.8
632,632,644,THOUSAND ISLANDS CSD,95,3,19397.93,867,425,442,8.4,57228.6
633,633,645,THREE VILLAGE CSD,96,1,31655.63,5809,2922,2887,22.9,124953.4
634,634,646,TICONDEROGA CSD,91,5,23812.19,682,361,321,1.9,80308.2
635,635,647,TIOGA CSD,91,4,15563.69,886,446,440,2.9,59570.1
636,636,648,TONAWANDA CITY SCHOOL DISTRICT,93,3,16138.8,1729,880,849,13.0,58954.0
637,637,649,TOWN OF WEBB UFSD,100,0,26872.8,259,136,123,3.5,65457.2
638,638,650,TRI-VALLEY CSD,75,19,27786.88,930,495,435,18.9,58629.6
639,639,651,TROY CITY SCHOOL DISTRICT,88,7,19801.65,3842,1927,1915,60.3,57325.0
640,640,652,TRUMANSBURG CSD,91,0,20889.47,999,514,485,14.6,56880.2
641,641,653,TUCKAHOE COMMON SCHOOL DISTRICT,—,—,51082.72,253,121,132,74.3,105669.5
642,642,654,TUCKAHOE UFSD,99,0,25010.58,1184,615,569,33.6,110517.8
643,643,655,TULLY CSD,81,3,19646.46,737,391,346,6.5,72185.5
644,644,656,TUPPER LAKE CSD,89,2,20549.25,712,365,347,6.0,55435.5
645,645,657,TUXEDO UFSD,100,0,45079.45,222,111,111,35.6,103987.0
646,646,658,UFSD-TARRYTOWNS,90,5,25569.87,2682,1355,1327,69.1,
647,647,659,UNADILLA VALLEY CSD,84,3,22294.87,758,368,390,4.5,53665.1
648,648,660,UNION SPRINGS CSD,94,0,18831.95,791,431,360,10.4,66015.2
649,649,661,UNION-ENDICOTT CSD,88,5,18861.64,3569,1795,1774,32.1,57793.5
650,650,662,UNIONDALE UFSD,78,11,24253.37,6748,3438,3310,98.5,111490.7
651,651,663,UTICA CITY SCHOOL DISTRICT,73,13,15176.09,9738,4917,4821,70.9,55937.3
652,652,664,VALHALLA UFSD,93,1,30131.68,1387,706,681,46.0,106481.0
653,653,665,VALLEY CSD (MONTGOMERY),92,4,21709.36,4131,2073,2058,39.5,91179.4
654,654,666,VALLEY STREAM 13 UFSD,—,—,21831.3,1963,1049,914,76.4,
655,655,667,VALLEY STREAM 24 UFSD,—,—,23989.49,1097,560,537,82.2,
656,656,668,VALLEY STREAM 30 UFSD,—,—,21680.41,1464,745,719,95.3,
657,657,669,VALLEY STREAM CENTRAL HS DISTRICT,93,2,22335.67,4542,2315,2227,83.6,
658,658,670,VAN HORNESVILLE-OWEN D YOUNG CSD,91,5,23917.91,181,85,96,3.3,
659,659,671,VESTAL CSD,93,2,18422.74,3291,1695,1596,22.8,65047.7
660,660,672,VICTOR CSD,95,2,13662.02,4272,2140,2132,17.4,82661.3
661,661,673,VOORHEESVILLE CSD,96,2,17552.5,1180,581,599,10.0,96354.5
662,662,674,WAINSCOTT COMMON SCHOOL DISTRICT,—,—,28103.79,29,14,15,62.1,106326.0
663,663,675,WALLKILL CSD,90,3,21761.44,2831,1482,1349,34.8,77384.9
664,664,676,WALTON CSD,86,11,20436.21,866,433,433,4.4,54078.0
665,665,677,WANTAGH UFSD,98,0,24819.0,2770,1397,1373,14.9,143313.0
666,666,678,WAPPINGERS CSD,94,3,19359.75,10645,5511,5134,31.2,90151.1
667,667,679,WARRENSBURG CSD,85,8,23590.05,662,352,310,6.3,64830.4
668,668,680,WARSAW CSD,92,7,18447.56,820,390,430,8.4,59166.6
669,669,681,WARWICK VALLEY CSD,95,1,18948.67,3569,1818,1751,25.2,101545.5
670,670,682,WASHINGTONVILLE CSD,94,2,20640.42,3801,1904,1897,40.3,104425.2
671,671,683,WATERFORD-HALFMOON UFSD,90,5,23921.21,752,385,367,10.0,70068.0
672,672,684,WATERLOO CSD,90,4,20639.44,1538,784,754,12.5,54392.7
673,673,685,WATERTOWN CITY SCHOOL DISTRICT,77,14,14799.55,3972,2061,1911,30.8,53675.7
674,674,686,WATERVILLE CSD,93,0,19097.1,741,395,346,2.6,69413.4
675,675,687,WATERVLIET CITY SCHOOL DISTRICT,88,7,13712.89,1296,697,599,54.3,52722.0
676,676,688,WATKINS GLEN CSD,95,1,21000.88,983,508,475,8.6,59327.6
677,677,689,WAVERLY CSD,90,8,17881.28,1442,713,729,4.9,54707.5
678,678,690,WAYLAND-COHOCTON CSD,94,4,19889.88,1247,621,626,3.6,56342.6
679,679,691,WAYNE CSD,92,4,18290.82,2127,1095,1032,6.9,80629.7
680,680,692,WEBSTER CSD,95,1,17463.98,8151,4194,3957,17.3,75512.0
681,681,693,WEEDSPORT CSD,96,2,21378.37,725,365,360,8.0,57784.0
682,682,694,WELLS CSD,89,6,32101.51,135,83,52,3.0,61267.0
683,683,695,WELLSVILLE CSD,82,6,19328.04,1077,527,550,5.6,54473.6
684,684,696,WEST BABYLON UFSD,92,4,24688.51,3705,1867,1838,41.9,108718.3
685,685,697,WEST CANADA VALLEY CSD,96,2,21996.67,650,306,344,4.0,58483.0
686,686,698,WEST GENESEE CSD,95,0,16351.6,4483,2312,2171,14.1,76938.0
687,687,699,WEST HEMPSTEAD UFSD,89,6,27633.69,1759,930,829,77.2,110161.0
688,688,700,WEST IRONDEQUOIT CSD,93,2,17041.73,3620,1885,1735,29.8,51638.0
689,689,701,WEST ISLIP UFSD,98,0,24902.21,4006,2097,1909,17.2,116003.0
690,690,703,WEST SENECA CSD,91,4,16393.8,6214,3178,3036,15.0,59280.0
691,691,704,WEST VALLEY CSD,79,14,36386.31,190,98,92,4.7,58744.2
692,692,705,WESTBURY UFSD,84,11,24100.6,4979,2569,2410,98.0,152112.0
693,693,706,WESTFIELD CSD,80,4,22096.84,632,308,324,9.3,49503.3
694,694,707,WESTHAMPTON BEACH UFSD,93,3,25836.22,1820,950,870,35.7,113387.3
695,695,708,WESTHILL CSD,96,3,17204.54,1778,841,937,16.4,66212.5
696,696,709,WESTMORELAND CSD,95,0,20977.82,853,421,432,5.0,65308.9
697,697,711,WHEATLAND-CHILI CSD,88,3,24615.3,636,305,331,30.2,67558.0
698,698,712,WHEELERVILLE UFSD,—,—,25960.01,117,61,56,3.4,49780.3
699,699,713,WHITE PLAINS CITY SCHOOL DISTRICT,91,3,27671.34,7069,3564,3505,78.1,106715.3
700,700,714,WHITEHALL CSD,76,16,20970.97,703,346,357,2.8,64743.8
701,701,715,WHITESBORO CSD,94,4,17518.67,3143,1602,1541,10.1,65544.6
702,702,716,WHITESVILLE CSD,93,0,25735.4,179,90,89,2.8,45024.7
703,703,717,WHITNEY POINT CSD,78,6,20246.09,1329,672,657,3.0,55161.9
704,704,718,WILLIAM FLOYD UFSD,89,4,20200.92,8837,4514,4323,59.9,93855.7
705,705,719,WILLIAMSON CSD,94,1,18664.46,984,512,472,18.9,71056.0
706,706,720,WILLIAMSVILLE CSD,95,2,16128.34,9913,5014,4899,26.9,89129.3
707,707,721,WILLSBORO CSD,80,5,29014.65,229,108,121,8.7,60185.2
708,708,722,WILSON CSD,91,8,19651.21,1042,545,497,9.0,63643.7
709,709,723,WINDHAM-ASHLAND-JEWETT CSD,95,5,30935.23,291,155,136,15.5,53107.0
710,710,724,WINDSOR CSD,92,4,20400.27,1528,778,750,9.0,55349.8
711,711,725,WORCESTER CSD,100,0,22629.71,320,149,171,2.5,54057.5
712,712,726,WYANDANCH UFSD,56,17,21454.95,2700,1381,1319,99.0,98069.0
713,713,727,WYNANTSKILL UFSD,—,—,17164.28,376,187,189,11.2,68131.5
714,714,728,WYOMING CSD,—,—,28167.77,128,70,58,2.3,62790.5
715,715,729,YONKERS CITY SCHOOL DISTRICT,91,3,18820.45,24633,12524,12109,84.5,94866.4
716,716,730,YORK CSD,97,2,19869.81,688,377,311,5.4,61273.5
717,717,731,YORKSHIRE-PIONEER CSD,89,6,17445.73,2307,1196,1111,5.0,58648.5
718,718,732,YORKTOWN CSD,97,1,24424.21,3401,1775,1626,27.8,115881.2
