DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
LANCASTER CSD,95.0,0.0,14140.1,5631.0,2874.0,2757.0,8.6,68643.5,Yes
LANSING CSD,90.0,1.0,21726.47,1187.0,602.0,585.0,19.8,69399.6,""
LANSINGBURGH CSD,85.0,9.0,18039.45,2110.0,1134.0,976.0,43.8,57325.0,No
LAURENS CSD,84.0,8.0,23669.72,301.0,141.0,160.0,11.6,56726.6,""
LAWRENCE UFSD,78.0,11.0,27720.33,2446.0,1289.0,1157.0,87.4,109532.43,Yes
LE ROY CSD,90.0,5.0,16863.6,1176.0,583.0,593.0,8.2,67910.25,""
LETCHWORTH CSD,94.0,0.0,17015.69,893.0,464.0,429.0,4.0,54844.2,""
LEVITTOWN UFSD,94.0,1.0,26952.8,7102.0,3635.0,3467.0,36.4,136470.67,No
LEWISTON-PORTER CSD,92.0,4.0,18690.08,1920.0,1004.0,916.0,9.2,61757.5,Yes
LIBERTY CSD,77.0,14.0,23182.34,1694.0,876.0,818.0,58.3,57930.54,""
LINDENHURST UFSD,91.0,4.0,23636.09,5674.0,2882.0,2792.0,34.9,99576.0,No
LISBON CSD,92.0,0.0,20676.12,559.0,282.0,277.0,2.5,55901.5,""
LITTLE FALLS CITY SD,79.0,17.0,19877.83,1073.0,546.0,527.0,10.0,54676.25,""
LITTLE FLOWER UFSD,79.0,17.0,19877.83,97.0,64.0,33.0,50.5,"",""
LIVERPOOL CSD,84.0,5.0,18169.54,6927.0,3478.0,3449.0,28.7,70631.34,No
LIVINGSTON MANOR CSD,74.0,10.0,30012.19,410.0,191.0,219.0,20.5,63833.2,""
LIVONIA CSD,98.0,1.0,19693.89,1449.0,767.0,682.0,5.9,66544.78,""
LOCKPORT CITY SD,89.0,2.0,18128.21,4328.0,2206.0,2122.0,29.5,60823.0,No
LOCUST VALLEY CSD,97.0,0.0,37089.06,2012.0,1028.0,984.0,26.8,123948.43,""
LONG BEACH CITY SD,97.0,1.0,31355.75,3613.0,1879.0,1734.0,41.9,112522.0,""
LONG LAKE CSD,97.0,1.0,52830.45,59.0,32.0,27.0,5.1,52795.5,""
LONGWOOD CSD,89.0,5.0,21996.25,9042.0,4626.0,4416.0,54.6,98875.11,Yes
LOWVILLE ACADEMY & CSD,92.0,5.0,16364.3,1283.0,653.0,630.0,6.4,"",""
LYME CSD,95.0,5.0,19158.07,331.0,157.0,174.0,6.9,62542.2,""
LYNBROOK UFSD,97.0,1.0,26396.92,2787.0,1422.0,1365.0,32.9,115458.25,No
LYNCOURT UFSD,97.0,1.0,20346.46,373.0,196.0,177.0,47.5,44606.5,""
LYNDONVILLE CSD,96.0,4.0,20760.99,586.0,296.0,290.0,12.1,54853.2,""
LYONS CSD,74.0,14.0,25724.35,833.0,434.0,399.0,25.5,53364.0,""
MADISON CSD,94.0,3.0,18344.65,454.0,212.0,242.0,1.8,61093.67,""
MADRID-WADDINGTON CSD,93.0,2.0,19452.88,655.0,331.0,324.0,3.5,60148.89,""
MAHOPAC CSD,94.0,2.0,26934.25,3972.0,2029.0,1943.0,28.5,110562.0,No
NYC GEOG DIST # 9 - BRONX,74.0,9.0,16657.58,29653.0,14989.0,14664.0,98.7,32099.75,Yes
NYC GEOG DIST #10 - BRONX,80.0,7.0,12481.32,49381.0,25187.0,24194.0,94.1,47554.0,Yes
NYC GEOG DIST #11 - BRONX,75.0,8.0,25800.4,35438.0,18643.0,16795.0,91.1,59079.6,Yes
NYC GEOG DIST #12 - BRONX,63.0,12.0,32295.45,19427.0,10007.0,9420.0,98.6,36342.33,Yes
NYC GEOG DIST #13 - BROOKLYN,90.0,2.0,19602.79,19994.0,10672.0,9322.0,82.8,100631.6,Yes
NYC GEOG DIST #14 - BROOKLYN,82.0,5.0,19598.09,16583.0,8684.0,7899.0,85.1,70139.6,Yes
NYC GEOG DIST #15 - BROOKLYN,71.0,5.0,10713.72,29846.0,14881.0,14965.0,69.9,95562.13,Yes
NYC GEOG DIST #16 - BROOKLYN,60.0,5.0,99467.82,5425.0,2891.0,2534.0,97.3,54048.0,Yes
NYC GEOG DIST #17 - BROOKLYN,74.0,6.0,7107.89,19019.0,9361.0,9658.0,96.9,62593.0,Yes
NYC GEOG DIST #18 - BROOKLYN,67.0,6.0,29553.45,12417.0,6499.0,5918.0,96.6,53702.33,Yes
NYC GEOG DIST #19 - BROOKLYN,79.0,6.0,13050.93,19389.0,10230.0,9159.0,97.9,39264.33,Yes
NYC GEOG DIST #20 - BROOKLYN,76.0,7.0,7898.3,49535.0,25915.0,23620.0,75.5,63385.71,Yes
NYC GEOG DIST #21 - BROOKLYN,77.0,6.0,23130.43,33868.0,17379.0,16489.0,67.6,53230.83,Yes
NYC GEOG DIST #22 - BROOKLYN,85.0,3.0,18016.75,31931.0,16127.0,15804.0,67.4,67778.14,Yes
NYC GEOG DIST #23 - BROOKLYN,52.0,12.0,69436.09,7714.0,4315.0,3399.0,98.7,38831.5,Yes
NYC GEOG DIST #24 - QUEENS,80.0,5.0,3298.42,54124.0,28429.0,25695.0,86.8,73961.0,Yes
NYC GEOG DIST #25 - QUEENS,76.0,5.0,24935.11,35583.0,18163.0,17420.0,88.7,67681.3,Yes
NYC GEOG DIST #26 - QUEENS,92.0,3.0,18512.76,30802.0,15826.0,14976.0,84.7,89223.34,Yes
NYC GEOG DIST #27 - QUEENS,76.0,10.0,10746.29,40675.0,21347.0,19328.0,90.0,74852.77,Yes
NYC GEOG DIST #28 - QUEENS,84.0,5.0,18696.88,38378.0,19482.0,18896.0,84.4,72971.66,Yes
NYC GEOG DIST #29 - QUEENS,77.0,6.0,24254.97,23776.0,12395.0,11381.0,98.2,80180.09,Yes
NYC GEOG DIST #30 - QUEENS,86.0,4.0,10918.49,36697.0,18539.0,18158.0,83.4,72604.27,Yes
NYC GEOG DIST #31 - STATEN ISLAND,84.0,4.0,10232.77,57787.0,29605.0,28182.0,55.6,86134.59,Yes
NYC GEOG DIST #32 - BROOKLYN,75.0,8.0,111293.33,9850.0,5045.0,4805.0,97.6,52066.0,Yes
NYC SPEC SCHOOLS - DIST 75,75.0,8.0,8148.78,25358.0,18632.0,6726.0,87.3,"",Yes
OAKFIELD-ALABAMA CSD,85.0,3.0,18394.15,772.0,379.0,393.0,6.7,60528.5,""
OCEANSIDE UFSD,94.0,0.0,22535.44,5506.0,2852.0,2654.0,29.4,115829.34,No
ODESSA-MONTOUR CSD,93.0,4.0,18234.83,723.0,379.0,344.0,6.6,57681.67,""
OGDENSBURG CITY SD,80.0,12.0,22365.24,1475.0,763.0,712.0,2.0,53915.0,""
OLEAN CITY SD,74.0,10.0,18698.78,1925.0,1008.0,917.0,18.6,47782.0,Yes
ONEIDA CITY SD,85.0,9.0,18768.6,1857.0,923.0,934.0,11.6,63358.38,Yes
ONEONTA CITY SD,84.0,7.0,17884.13,1734.0,885.0,849.0,21.6,53729.0,Yes
ONONDAGA CSD,90.0,6.0,19020.04,768.0,369.0,399.0,27.3,71562.84,""
ONTEORA CSD,87.0,4.0,38615.96,1201.0,597.0,604.0,25.3,68467.15,No
OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CS,85.0,9.0,21080.92,689.0,335.0,354.0,3.0,"",""
ORCHARD PARK CSD,97.0,0.0,18291.68,4649.0,2318.0,2331.0,7.4,73334.75,""
ORISKANY CSD,92.0,2.0,20301.77,569.0,294.0,275.0,8.1,69966.75,""
OSSINING UFSD,80.0,2.0,22422.6,4774.0,2464.0,2310.0,79.6,127406.34,No
OSWEGO CITY SD,81.0,8.0,19998.39,3626.0,1870.0,1756.0,10.3,58733.33,No
OTEGO-UNADILLA CSD,87.0,5.0,21458.71,716.0,338.0,378.0,11.9,57785.5,Yes
OTSELIC VALLEY CSD,94.0,3.0,27026.81,291.0,142.0,149.0,1.7,"",""
OWEGO-APALACHIN CSD,92.0,3.0,18179.7,1922.0,990.0,932.0,5.0,64451.57,Yes
OXFORD ACADEMY & CSD,95.0,2.0,22363.77,706.0,349.0,357.0,7.8,"",""
OYSTER BAY-EAST NORWICH CSD,95.0,3.0,31106.27,1528.0,776.0,752.0,36.9,127665.66,""
OYSTERPONDS UFSD,95.0,3.0,39628.6,65.0,29.0,36.0,30.8,79892.5,""
PALMYRA-MACEDON CSD,91.0,7.0,18477.61,1789.0,927.0,862.0,7.4,75147.0,No
PANAMA CSD,100.0,0.0,21679.03,436.0,223.0,213.0,5.5,56309.75,""
PARISHVILLE-HOPKINTON CSD,97.0,0.0,25102.89,365.0,187.0,178.0,1.1,52445.83,""
PATCHOGUE-MEDFORD UFSD,86.0,4.0,22688.05,7349.0,3796.0,3553.0,56.0,104073.75,Yes
PAVILION CSD,83.0,11.0,21512.28,638.0,332.0,306.0,5.2,63204.1,""
PAWLING CSD,93.0,0.0,28302.88,1114.0,571.0,543.0,29.4,106711.66,""
PEARL RIVER UFSD,96.0,1.0,23852.0,2361.0,1207.0,1154.0,23.1,133580.0,""
PEEKSKILL CITY SD,80.0,8.0,22977.07,3352.0,1791.0,1561.0,93.1,98254.5,No
PELHAM UFSD,98.0,0.0,22511.94,2913.0,1515.0,1398.0,34.7,107724.66,No
PEMBROKE CSD,92.0,2.0,21102.75,910.0,435.0,475.0,6.5,64466.6,""
PENFIELD CSD,97.0,1.0,16744.56,4587.0,2333.0,2254.0,17.6,76003.14,No
PENN YAN CSD,87.0,8.0,22166.64,1312.0,640.0,672.0,7.5,56688.57,""
PERRY CSD,92.0,3.0,18437.89,772.0,389.0,383.0,9.8,58877.45,""
PERU CSD,89.0,7.0,21325.68,1822.0,948.0,874.0,5.8,64691.14,""
PHELPS-CLIFTON SPRINGS CSD,85.0,11.0,18223.93,1549.0,809.0,740.0,10.5,61560.67,""
PHOENIX CSD,87.0,8.0,21337.44,1644.0,839.0,805.0,5.2,70405.66,""
PINE BUSH CSD,91.0,4.0,20058.09,4925.0,2563.0,2362.0,30.7,91832.3,""
PINE PLAINS CSD,89.0,5.0,28458.63,855.0,425.0,430.0,21.6,77546.2,""
PINE VALLEY CSD (SOUTH DAYTON),66.0,15.0,24415.35,485.0,243.0,242.0,9.7,52078.75,""
PITTSFORD CSD,98.0,0.0,19861.85,5588.0,2876.0,2712.0,26.9,90935.43,No
PLAINEDGE UFSD,95.0,0.0,26342.58,2823.0,1454.0,1369.0,13.8,125001.0,No
PLAINVIEW-OLD BETHPAGE CSD,96.0,0.0,26869.5,4955.0,2547.0,2408.0,33.7,150691.0,""
PLATTSBURGH CITY SD,84.0,8.0,21291.56,1800.0,935.0,865.0,14.2,63237.0,Yes
PLEASANTVILLE UFSD,93.0,1.0,25303.29,1695.0,877.0,818.0,24.3,156774.0,""
POCANTICO HILLS CSD,93.0,1.0,53858.3,285.0,137.0,148.0,61.4,126171.84,""
POLAND CSD,93.0,7.0,23870.17,487.0,242.0,245.0,7.0,66199.25,""
PORT BYRON CSD,86.0,4.0,23478.26,728.0,356.0,372.0,5.5,58286.57,""
PORT CHESTER-RYE UFSD,82.0,5.0,17876.84,4775.0,2502.0,2273.0,87.4,147261.5,""
PORT JEFFERSON UFSD,96.0,1.0,35628.81,1022.0,526.0,496.0,23.9,133935.33,""
PORT JERVIS CITY SD,86.0,6.0,25319.9,2444.0,1245.0,1199.0,34.2,71534.5,""
PORT WASHINGTON UFSD,93.0,2.0,25331.03,5364.0,2749.0,2615.0,37.0,131163.0,""
PORTVILLE CSD,95.0,3.0,14307.29,986.0,469.0,517.0,6.6,49672.6,""
POTSDAM CSD,95.0,3.0,20234.62,1234.0,667.0,567.0,8.9,61014.0,""
POUGHKEEPSIE CITY SD,60.0,19.0,21427.37,4154.0,2184.0,1970.0,93.7,68081.0,No
PRATTSBURGH CSD,84.0,4.0,18240.82,360.0,179.0,181.0,8.1,49466.17,""
PULASKI CSD,87.0,4.0,20825.86,924.0,465.0,459.0,3.8,57120.5,""
PUTNAM CSD,87.0,4.0,23009.37,28.0,19.0,9.0,0.0,68670.0,""
PUTNAM VALLEY CSD,97.0,1.0,26817.67,1598.0,808.0,790.0,31.5,117689.0,""
QUEENSBURY UFSD,90.0,3.0,16548.22,3135.0,1622.0,1513.0,7.0,62680.75,No
QUOGUE UFSD,90.0,3.0,69868.4,77.0,38.0,39.0,23.4,104077.66,""
RANDOLPH ACAD UFSD,90.0,3.0,69868.4,164.0,118.0,46.0,37.2,"",""
RANDOLPH CSD,99.0,0.0,18397.12,846.0,421.0,425.0,11.0,47460.38,""
RAVENA-COEYMANS-SELKIRK CSD,88.0,6.0,18848.63,1768.0,895.0,873.0,19.1,78473.91,No
RED CREEK CSD,88.0,10.0,21345.38,783.0,424.0,359.0,5.0,54821.5,""
ELLENVILLE CSD,81.0,11.0,26476.75,1516.0,751.0,765.0,53.8,67510.27,""
ELLICOTTVILLE CSD,92.0,3.0,17000.21,568.0,295.0,273.0,8.5,55898.0,""
ELMIRA CITY SD,73.0,16.0,18365.57,5544.0,2848.0,2696.0,28.6,55970.0,Yes
ELMIRA HEIGHTS CSD,88.0,6.0,17766.08,1018.0,503.0,515.0,12.8,55534.75,""
ELMONT UFSD,88.0,6.0,21485.41,3324.0,1690.0,1634.0,95.1,127021.16,No
ELMSFORD UFSD,89.0,1.0,28619.63,967.0,494.0,473.0,91.9,127944.5,""
ELWOOD UFSD,98.0,1.0,25149.52,2049.0,1031.0,1018.0,37.1,131034.0,No
EVANS-BRANT CSD (LAKE SHORE),90.0,6.0,21444.49,2179.0,1124.0,1055.0,22.8,57504.43,""
FABIUS-POMPEY CSD,92.0,0.0,23378.61,611.0,302.0,309.0,5.6,76135.66,""
FAIRPORT CSD,94.0,2.0,18288.31,5683.0,2932.0,2751.0,14.9,89395.4,No
FALCONER CSD,90.0,5.0,15754.62,1119.0,574.0,545.0,6.0,50546.29,""
FALLSBURG CSD,79.0,8.0,8070.27,1410.0,688.0,722.0,71.5,55982.81,""
FARMINGDALE UFSD,95.0,3.0,26389.39,5521.0,2882.0,2639.0,41.0,114446.16,Yes
FAYETTEVILLE-MANLIUS CSD,96.0,0.0,17546.6,4203.0,2114.0,2089.0,19.8,85551.29,No
FILLMORE CSD,96.0,2.0,16259.19,639.0,320.0,319.0,4.2,52211.4,""
FIRE ISLAND UFSD,96.0,2.0,117584.61,30.0,14.0,16.0,26.7,109138.0,""
FISHERS ISLAND UFSD,90.0,0.0,53804.95,61.0,26.0,35.0,14.8,46250.0,""
FLORAL PARK-BELLEROSE UFSD,90.0,0.0,17858.44,1472.0,750.0,722.0,41.8,124949.0,""
FLORIDA UFSD,97.0,1.0,24475.23,789.0,399.0,390.0,39.4,102833.25,""
FONDA-FULTONVILLE CSD,92.0,6.0,17693.4,1245.0,635.0,610.0,7.1,61968.45,""
FORESTVILLE CSD,90.0,4.0,19092.34,433.0,212.0,221.0,14.1,54393.71,""
FORT ANN CSD,81.0,8.0,23523.79,421.0,244.0,177.0,6.9,76262.0,""
FORT EDWARD UFSD,74.0,21.0,22672.08,444.0,224.0,220.0,8.8,63169.0,""
FORT PLAIN CSD,86.0,2.0,20887.78,769.0,401.0,368.0,12.9,50001.0,""
FRANKFORT-SCHUYLER CSD,90.0,1.0,17334.49,893.0,457.0,436.0,6.8,56040.0,""
FRANKLIN CSD,100.0,0.0,24410.51,244.0,114.0,130.0,9.8,50803.86,""
FRANKLIN SQUARE UFSD,100.0,0.0,16757.04,1832.0,953.0,879.0,41.8,128777.5,""
FRANKLINVILLE CSD,83.0,6.0,25123.2,594.0,293.0,301.0,7.9,53930.13,""
FREDONIA CSD,96.0,2.0,17255.21,1418.0,730.0,688.0,20.7,51986.5,""
FREEPORT UFSD,86.0,2.0,21484.73,6765.0,3582.0,3183.0,94.5,118306.25,No
FREWSBURG CSD,94.0,2.0,17462.27,777.0,378.0,399.0,6.0,49021.5,""
FRIENDSHIP CSD,78.0,9.0,29150.45,304.0,153.0,151.0,9.2,47778.0,""
FRONTIER CSD,91.0,3.0,14894.51,4612.0,2356.0,2256.0,11.8,74888.25,Yes
FULTON CITY SD,84.0,10.0,19719.91,3200.0,1659.0,1541.0,10.3,60755.75,No
GALWAY CSD,87.0,6.0,18867.04,800.0,392.0,408.0,1.1,76572.38,""
GANANDA CSD,90.0,5.0,18478.74,893.0,440.0,453.0,15.2,81453.0,""
GARDEN CITY UFSD,98.0,0.0,23500.03,3939.0,1964.0,1975.0,16.0,135299.67,""
GARRISON UFSD,98.0,0.0,36524.49,207.0,109.0,98.0,27.5,122279.5,""
GATES CHILI CSD,86.0,4.0,19847.69,3698.0,1833.0,1865.0,43.8,"",""
GENERAL BROWN CSD,93.0,4.0,13567.3,1388.0,711.0,677.0,6.0,62807.6,""
GENESEE VALLEY CSD,90.0,8.0,23997.0,478.0,243.0,235.0,5.0,53666.63,""
GENESEO CSD,93.0,3.0,18482.09,855.0,444.0,411.0,17.5,59282.2,""
GENEVA CITY SD,88.0,9.0,20180.79,1996.0,988.0,1008.0,57.1,58524.25,No
GEORGE JUNIOR REPUBLIC UFSD,41.0,53.0,20180.79,190.0,163.0,27.0,26.8,"",""
GERMANTOWN CSD,93.0,7.0,5403.88,485.0,263.0,222.0,14.0,70628.0,""
GILBERTSVILLE-MOUNT UPTON CSD,92.0,3.0,23117.52,338.0,164.0,174.0,3.8,54588.63,""
GILBOA-CONESVILLE CSD,100.0,0.0,26541.08,294.0,167.0,127.0,4.8,56186.08,""
GLEN COVE CITY SD,87.0,4.0,22819.95,3163.0,1613.0,1550.0,75.5,114053.5,""
GLENS FALLS CITY SD,84.0,8.0,17131.9,2022.0,1042.0,980.0,14.4,66618.0,""
GLENS FALLS COMN SD,84.0,8.0,23169.56,157.0,72.0,85.0,19.7,66618.0,""
GLOVERSVILLE CITY SD,68.0,17.0,18618.2,2554.0,1310.0,1244.0,20.0,53646.4,Yes
GORHAM-MIDDLESEX CSD (MARCUS WHITMAN,87.0,4.0,19833.28,1119.0,582.0,537.0,3.2,"",""
GOSHEN CSD,96.0,0.0,22102.68,2885.0,1458.0,1427.0,22.4,95000.0,No
GOUVERNEUR CSD,84.0,9.0,18367.44,1461.0,739.0,722.0,3.9,52115.0,""
GOWANDA CSD,82.0,14.0,24073.62,1063.0,511.0,552.0,35.7,53409.29,""
GRAND ISLAND CSD,95.0,2.0,17396.91,2869.0,1462.0,1407.0,15.2,90386.0,""
GRANVILLE CSD,79.0,11.0,18308.97,1020.0,545.0,475.0,5.3,56732.75,""
GREAT NECK UFSD,93.0,2.0,28782.39,6586.0,3466.0,3120.0,56.0,140796.17,""
GREECE CSD,93.0,0.0,16901.72,10504.0,5322.0,5182.0,42.1,56750.0,No
GREEN ISLAND UFSD,86.0,11.0,23487.08,263.0,117.0,146.0,19.0,49862.0,""
GREENBURGH CSD,93.0,0.0,34414.7,1581.0,803.0,778.0,87.9,124601.66,No
GREENBURGH ELEVEN UFSD,22.0,33.0,34414.7,71.0,71.0,0.0,95.8,"",""
GREENE CSD,89.0,6.0,20546.04,924.0,479.0,445.0,5.3,51063.71,No
GREENPORT UFSD,75.0,20.0,24403.49,660.0,351.0,309.0,72.7,79762.34,""
GREENVILLE CSD,87.0,3.0,23538.21,1126.0,573.0,553.0,4.4,75317.47,""
GREENWICH CSD,91.0,1.0,18651.65,945.0,496.0,449.0,5.1,77175.88,""
GREENWOOD LAKE UFSD,91.0,1.0,33865.79,474.0,236.0,238.0,35.2,92963.34,""
GROTON CSD,90.0,3.0,19387.04,778.0,387.0,391.0,8.9,65364.75,""
GUILDERLAND CSD,94.0,2.0,17693.96,4841.0,2451.0,2390.0,26.5,75045.11,Yes
HADLEY-LUZERNE CSD,89.0,7.0,25299.07,640.0,350.0,290.0,4.4,62414.71,""
HALDANE CSD,93.0,3.0,25957.28,796.0,423.0,373.0,17.2,104061.0,""
HALF HOLLOW HILLS CSD,95.0,1.0,27791.97,7676.0,3950.0,3726.0,47.2,117510.14,""
HAMBURG CSD,92.0,3.0,17076.46,3321.0,1649.0,1672.0,7.0,79445.84,No
HAMILTON CSD,90.0,5.0,20603.59,554.0,303.0,251.0,8.7,56966.83,""
HAMMOND CSD,74.0,16.0,26123.36,242.0,124.0,118.0,1.2,58918.5,""
HAMMONDSPORT CSD,76.0,11.0,27744.76,395.0,196.0,199.0,7.3,51205.75,""
HAMPTON BAYS UFSD,91.0,6.0,21642.94,2006.0,1048.0,958.0,63.1,92699.75,""
HANCOCK CSD,97.0,3.0,29004.88,308.0,159.0,149.0,9.4,54114.0,""
HANNIBAL CSD,82.0,10.0,19515.27,1236.0,649.0,587.0,4.0,54135.2,""
HARBORFIELDS CSD,95.0,1.0,24499.74,2965.0,1510.0,1455.0,28.1,135911.0,No
HARPURSVILLE CSD,84.0,3.0,21205.12,641.0,365.0,276.0,4.7,56108.57,""
HARRISON CSD,98.0,1.0,28893.27,3653.0,1820.0,1833.0,35.2,137353.5,No
HARRISVILLE CSD,91.0,9.0,25442.94,340.0,175.0,165.0,5.6,50445.0,""
HARTFORD CSD,83.0,7.0,21509.8,410.0,230.0,180.0,6.3,57991.86,""
HASTINGS-ON-HUDSON UFSD,96.0,1.0,27795.13,1656.0,840.0,816.0,28.5,137899.0,""
HAUPPAUGE UFSD,95.0,0.0,28953.45,3272.0,1725.0,1547.0,27.8,111789.0,No
HAVERSTRAW-STONY POINT CSD (NORTH RO,86.0,6.0,22215.24,7886.0,4031.0,3855.0,77.5,"",""
HAWTHORNE-CEDAR KNOLLS UFSD,30.0,10.0,22215.24,207.0,133.0,74.0,90.3,"",""
NYC GEOG DIST # 8 - BRONX,66.0,13.0,17445.73,24613.0,12660.0,11953.0,94.4,44250.0,""
REMSEN CSD,87.0,0.0,26257.19,405.0,216.0,189.0,3.5,71187.4,""
REMSENBURG-SPEONK UFSD,87.0,0.0,58547.76,132.0,66.0,66.0,27.3,106765.34,""
RENSSELAER CITY SD,84.0,5.0,17978.0,1028.0,524.0,504.0,44.6,77000.0,""
RHINEBECK CSD,93.0,1.0,30026.67,944.0,466.0,478.0,16.9,89250.5,""
RICHFIELD SPRINGS CSD,92.0,8.0,24034.39,402.0,223.0,179.0,5.5,57788.71,""
RIPLEY CSD,92.0,8.0,33327.7,123.0,61.0,62.0,4.9,43987.0,""
RIVERHEAD CSD,76.0,13.0,18810.89,5829.0,3028.0,2801.0,67.0,82145.0,No
ROCHESTER CITY SD,68.0,13.0,19885.5,25017.0,12904.0,12113.0,90.4,53004.43,No
ROCKVILLE CENTRE UFSD,98.0,0.0,29490.95,3579.0,1855.0,1724.0,26.5,107137.0,""
ROCKY POINT UFSD,95.0,4.0,24991.0,2905.0,1441.0,1464.0,22.1,119852.75,""
ROME CITY SD,82.0,8.0,17823.87,5320.0,2736.0,2584.0,21.0,64102.13,No
ROMULUS CSD,82.0,6.0,20890.39,434.0,210.0,224.0,11.1,55966.8,""
RONDOUT VALLEY CSD,88.0,8.0,28695.99,1869.0,978.0,891.0,15.9,71359.3,""
ROOSEVELT UFSD,75.0,16.0,20300.43,3346.0,1780.0,1566.0,99.9,112783.25,Yes
ROSCOE CSD,89.0,0.0,30693.78,220.0,120.0,100.0,13.6,55007.25,""
ROSLYN UFSD,99.0,1.0,29181.7,3195.0,1622.0,1573.0,32.2,165746.0,No
ROTTERDAM-MOHONASEN CSD,91.0,3.0,15118.77,2798.0,1418.0,1380.0,23.9,63371.0,Yes
ROXBURY CSD,86.0,0.0,34739.37,239.0,112.0,127.0,4.2,60713.0,""
ROYALTON-HARTLAND CSD,92.0,6.0,16056.73,1206.0,587.0,619.0,8.7,68789.0,""
RUSH-HENRIETTA CSD,92.0,3.0,19635.2,5387.0,2725.0,2662.0,42.6,85732.0,No
RYE CITY SD,96.0,0.0,25422.18,3234.0,1670.0,1564.0,20.6,140148.33,No
RYE NECK UFSD,93.0,1.0,22836.77,1572.0,809.0,763.0,37.5,146139.0,""
SACHEM CSD,94.0,2.0,20861.5,12351.0,6266.0,6085.0,30.0,108960.84,No
SACKETS HARBOR CSD,90.0,5.0,18003.63,418.0,204.0,214.0,10.8,62790.8,""
SAG HARBOR UFSD,89.0,3.0,38192.07,919.0,461.0,458.0,27.7,98489.0,""
SAGAPONACK COMN SD,89.0,3.0,55333.31,16.0,9.0,7.0,6.2,90326.0,""
SALAMANCA CITY SD,79.0,3.0,24617.42,1213.0,628.0,585.0,50.5,45555.17,""
