Column1,Unnamed: 0,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome
337,342,LINDENHURST UFSD,91,4,23636.09,5674,2882,2792,34.9,99576
338,343,LISBON CSD,92,0,20676.12,559,282,277,2.5,55901.5
339,344,LITTLE FALLS CITY SCHOOL DISTRICT,79,17,19877.83,1073,546,527,10,54676.2
341,346,LIVERPOOL CSD,84,5,18169.54,6927,3478,3449,28.7,70631.3
342,347,LIVINGSTON MANOR CSD,74,10,30012.19,410,191,219,20.5,63833.2
343,348,LIVONIA CSD,98,1,19693.89,1449,767,682,5.9,66544.8
344,349,LOCKPORT CITY SCHOOL DISTRICT,89,2,18128.21,4328,2206,2122,29.5,60823
345,350,LOCUST VALLEY CSD,97,0,37089.06,2012,1028,984,26.8,123948.4
346,351,LONG BEACH CITY SCHOOL DISTRICT,97,1,31355.75,3613,1879,1734,41.9,112522
348,353,LONGWOOD CSD,89,5,21996.25,9042,4626,4416,54.6,98875.1
350,355,LYME CSD,95,5,19158.07,331,157,174,6.9,62542.2
351,356,LYNBROOK UFSD,97,1,26396.92,2787,1422,1365,32.9,115458.2
353,358,LYNDONVILLE CSD,96,4,20760.99,586,296,290,12.1,54853.2
354,359,LYONS CSD,74,14,25724.35,833,434,399,25.5,53364
355,360,MADISON CSD,94,3,18344.65,454,212,242,1.8,61093.7
356,361,MADRID-WADDINGTON CSD,93,2,19452.88,655,331,324,3.5,60148.9
357,362,MAHOPAC CSD,94,2,26934.25,3972,2029,1943,28.5,110562
358,363,MAINE-ENDWELL CSD,89,7,15937.75,2459,1226,1233,12.4,55963.2
359,364,MALONE CSD,87,4,20754.3,2199,1191,1008,3.4,58174.6
360,365,MALVERNE UFSD,92,3,28071.16,1724,910,814,82,124833.8
361,366,MAMARONECK UFSD,94,2,22853.8,5596,2917,2679,32.2,144161.5
363,368,MANHASSET UFSD,98,0,25655.38,3163,1680,1483,35.9,146793.2
364,369,MARATHON CSD,98,0,21017.92,653,327,326,3.4,59716.7
365,370,MARCELLUS CSD,92,3,19566.23,1505,802,703,4.9,76931.4
366,371,MARGARETVILLE CSD,88,8,25293.61,330,164,166,29.4,58460.8
367,372,MARION CSD,86,4,22443.32,634,311,323,13.2,68890.7
368,373,MARLBORO CSD,91,4,21764.9,1891,968,923,37.2,77276.4
369,374,MASSAPEQUA UFSD,98,1,25406.75,6713,3337,3376,10.6,133976.5
370,375,MASSENA CSD,84,7,16440.97,2475,1222,1253,14.3,51442
371,376,MATTITUCK-CUTCHOGUE UFSD,93,1,31170.72,1101,584,517,23,97980.4
372,377,MAYFIELD CSD,90,4,18856.31,842,437,405,6.2,58933.3
373,378,MCGRAW CSD,89,5,18417.53,527,256,271,4.6,59645.8
374,379,MECHANICVILLE CITY SCHOOL DISTRICT,94,4,16937.42,1346,717,629,11.2,75677.8
375,380,MEDINA CSD,84,8,18543.05,1387,672,715,22.6,57023.6
378,383,MEXICO CSD,90,3,21774.73,1944,991,953,5.7,62851
379,384,MIDDLE COUNTRY CSD,91,4,22520.78,9050,4660,4390,40.8,109711.9
380,385,MIDDLEBURGH CSD,93,4,26103.54,654,316,338,3.2,64995.6
381,386,MIDDLETOWN CITY SCHOOL DISTRICT,83,9,19264.71,7405,3739,3666,87.3,86565
382,387,MILFORD CSD,88,4,24297.78,334,176,158,4.2,63726.3
383,388,MILLBROOK CSD,96,0,26186.89,880,451,429,22,83433
384,389,MILLER PLACE UFSD,97,1,24358.13,2490,1308,1182,14.5,119062.3
385,390,MINEOLA UFSD,94,2,28437.39,2790,1460,1330,49.2,131102.6
386,391,MINERVA CSD,40,20,41834.28,99,45,54,7.1,54737.5
387,392,MINISINK VALLEY CSD,89,1,19866.22,3493,1779,1714,25.9,82132.6
388,394,MONROE-WOODBURY CSD,91,4,21906.32,6702,3384,3318,52.5,106537.3
390,396,MONTICELLO CSD,83,7,23954.2,2786,1424,1362,58.2,67153.5
391,397,MORAVIA CSD,84,9,18050.12,873,434,439,4.2,65803.2
392,398,MORIAH CSD,89,6,20297.03,666,342,324,0.8,44562.4
393,399,MORRIS CSD,77,0,23527.09,310,165,145,8.7,62279.2
394,400,MORRISTOWN CSD,82,14,21795.55,322,167,155,4.3,52118.4
395,401,MORRISVILLE-EATON CSD,88,8,20737.05,588,289,299,7.7,63390
396,402,MOUNT MARKHAM CSD,86,8,19200.39,1038,527,511,3.9,60102.3
403,409,NANUET UFSD,94,1,25962.31,2218,1126,1092,53.1,107895.2
404,410,NAPLES CSD,87,4,17557.81,599,305,294,3,58002.9
405,411,NEW HARTFORD CSD,97,1,17848.92,2553,1308,1245,14.8,62441.1
407,413,NEW LEBANON CSD,92,5,9766.29,409,205,204,7.8,87238.2
408,414,NEW PALTZ CSD,94,3,25094.98,2037,1036,1001,24.7,69680.6
409,415,NEW ROCHELLE CITY SCHOOL DISTRICT,80,3,22932.93,10286,5394,4892,74.9,147819.1
411,417,NEWARK CSD,88,9,20106.84,1983,1014,969,29.7,55895.2
412,418,NEWARK VALLEY CSD,88,5,18004.61,1075,547,528,4.4,61204.4
413,419,NEWBURGH CITY SCHOOL DISTRICT,78,10,21654.67,10913,5664,5249,83.4,77814
414,420,NEWCOMB CSD,100,0,59290.5,68,39,29,5.9,44688
415,421,NEWFANE CSD,92,5,20242.16,1333,677,656,7.3,60037.5
416,422,NEWFIELD CSD,84,6,22438.23,728,355,373,19.5,59421.7
417,423,NIAGARA FALLS CITY SCHOOL DISTRICT,64,24,16647.7,6572,3240,3332,61,40596.2
418,424,NIAGARA-WHEATFIELD CSD,90,5,17860.17,3411,1738,1673,21.1,62356.5
419,425,NISKAYUNA CSD,94,1,15876.85,4294,2239,2055,31.3,85111.4
420,426,NORTH BABYLON UFSD,93,4,25157.29,4539,2335,2204,64,109923.6
422,428,NORTH COLLINS CSD,92,4,21209.35,547,277,270,9.1,62133.5
423,429,NORTH COLONIE CSD,93,3,16378.28,5887,2974,2913,37.1,70709.1
426,432,NORTH ROSE-WOLCOTT CSD,87,6,21632.65,1114,535,579,13.3,56033.2
427,433,NORTH SALEM CSD,96,2,34752.96,1046,523,523,25.9,122803.6
428,434,NORTH SHORE CSD,96,0,36171.47,2567,1332,1235,23.1,127171.8
429,435,NORTH SYRACUSE CSD,87,5,15859.19,8175,4198,3977,19.1,69545.3
430,436,NORTH TONAWANDA CITY SCHOOL DISTRICT,86,7,17409.1,3184,1593,1591,10.9,69119
431,437,NORTH WARREN CSD,92,5,22431.62,493,269,224,8.9,61106.2
432,438,NORTHEAST CSD,87,6,26227.2,626,333,293,30.5,73045.2
433,439,NORTHEASTERN CLINTON CSD,81,9,22148.23,1235,622,613,4.2,56574.2
434,440,NORTHERN ADIRONDACK CSD,86,9,25473.35,785,418,367,1,56522.2
435,441,NORTHPORT-EAST NORTHPORT UFSD,96,2,28285.29,5053,2646,2407,19,131766
436,442,NORTHVILLE CSD,94,3,20631.26,420,197,223,8.1,59445.5
437,443,NORWICH CITY SCHOOL DISTRICT,86,4,18999.6,1672,848,824,9.4,53188.4
438,444,NORWOOD-NORFOLK CSD,90,5,20364.35,943,473,470,3.8,54853.2
440,446,NYACK UFSD,91,5,24606.88,2866,1432,1434,57.8,124980.7
474,482,OAKFIELD-ALABAMA CSD,85,3,18394.15,772,379,393,6.7,60528.5
475,483,OCEANSIDE UFSD,94,0,22535.44,5506,2852,2654,29.4,115829.3
476,484,ODESSA-MONTOUR CSD,93,4,18234.83,723,379,344,6.6,57681.7
477,485,OGDENSBURG CITY SCHOOL DISTRICT,80,12,22365.24,1475,763,712,2,53915
478,486,OLEAN CITY SCHOOL DISTRICT,74,10,18698.78,1925,1008,917,18.6,47782
479,487,ONEIDA CITY SCHOOL DISTRICT,85,9,18768.6,1857,923,934,11.6,63358.4
480,488,ONEONTA CITY SCHOOL DISTRICT,84,7,17884.13,1734,885,849,21.6,53729
481,489,ONONDAGA CSD,90,6,19020.04,768,369,399,27.3,71562.8
482,490,ONTEORA CSD,87,4,38615.96,1201,597,604,25.3,68467.2
484,493,ORCHARD PARK CSD,97,0,18291.68,4649,2318,2331,7.4,73334.8
485,494,ORISKANY CSD,92,2,20301.77,569,294,275,8.1,69966.8
486,495,OSSINING UFSD,80,2,22422.6,4774,2464,2310,79.6,127406.3
487,496,OSWEGO CITY SCHOOL DISTRICT,81,8,19998.39,3626,1870,1756,10.3,58733.3
488,497,OTEGO-UNADILLA CSD,87,5,21458.71,716,338,378,11.9,57785.5
490,499,OWEGO-APALACHIN CSD,92,3,18179.7,1922,990,932,5,64451.6
492,501,OYSTER BAY-EAST NORWICH CSD,95,3,31106.27,1528,776,752,36.9,127665.7
494,503,PALMYRA-MACEDON CSD,91,7,18477.61,1789,927,862,7.4,75147
495,504,PANAMA CSD,100,0,21679.03,436,223,213,5.5,56309.8
496,505,PARISHVILLE-HOPKINTON CSD,97,0,25102.89,365,187,178,1.1,52445.8
497,506,PATCHOGUE-MEDFORD UFSD,86,4,22688.05,7349,3796,3553,56,104073.8
498,507,PAVILION CSD,83,11,21512.28,638,332,306,5.2,63204.1
499,508,PAWLING CSD,93,0,28302.88,1114,571,543,29.4,106711.7
500,509,PEARL RIVER UFSD,96,1,23852,2361,1207,1154,23.1,133580
501,510,PEEKSKILL CITY SCHOOL DISTRICT,80,8,22977.07,3352,1791,1561,93.1,98254.5
502,511,PELHAM UFSD,98,0,22511.94,2913,1515,1398,34.7,107724.7
503,512,PEMBROKE CSD,92,2,21102.75,910,435,475,6.5,64466.6
504,513,PENFIELD CSD,97,1,16744.56,4587,2333,2254,17.6,76003.1
505,514,PENN YAN CSD,87,8,22166.64,1312,640,672,7.5,56688.6
506,515,PERRY CSD,92,3,18437.89,772,389,383,9.8,58877.4
507,516,PERU CSD,89,7,21325.68,1822,948,874,5.8,64691.1
508,517,PHELPS-CLIFTON SPRINGS CSD,85,11,18223.93,1549,809,740,10.5,61560.7
509,518,PHOENIX CSD,87,8,21337.44,1644,839,805,5.2,70405.7
510,519,PINE BUSH CSD,91,4,20058.09,4925,2563,2362,30.7,91832.3
511,520,PINE PLAINS CSD,89,5,28458.63,855,425,430,21.6,77546.2
512,521,PINE VALLEY CSD (SOUTH DAYTON),66,15,24415.35,485,243,242,9.7,52078.8
513,522,PITTSFORD CSD,98,0,19861.85,5588,2876,2712,26.9,90935.4
514,523,PLAINEDGE UFSD,95,0,26342.58,2823,1454,1369,13.8,125001
515,524,PLAINVIEW-OLD BETHPAGE CSD,96,0,26869.5,4955,2547,2408,33.7,150691
516,525,PLATTSBURGH CITY SCHOOL DISTRICT,84,8,21291.56,1800,935,865,14.2,63237
517,526,PLEASANTVILLE UFSD,93,1,25303.29,1695,877,818,24.3,156774
519,528,POLAND CSD,93,7,23870.17,487,242,245,7,66199.2
520,529,PORT BYRON CSD,86,4,23478.26,728,356,372,5.5,58286.6
521,530,PORT CHESTER-RYE UFSD,82,5,17876.84,4775,2502,2273,87.4,147261.5
522,531,PORT JEFFERSON UFSD,96,1,35628.81,1022,526,496,23.9,133935.3
523,532,PORT JERVIS CITY SCHOOL DISTRICT,86,6,25319.9,2444,1245,1199,34.2,71534.5
524,533,PORT WASHINGTON UFSD,93,2,25331.03,5364,2749,2615,37,131163
525,534,PORTVILLE CSD,95,3,14307.29,986,469,517,6.6,49672.6
526,535,POTSDAM CSD,95,3,20234.62,1234,667,567,8.9,61014
527,536,POUGHKEEPSIE CITY SCHOOL DISTRICT,60,19,21427.37,4154,2184,1970,93.7,68081
528,537,PRATTSBURGH CSD,84,4,18240.82,360,179,181,8.1,49466.2
529,538,PULASKI CSD,87,4,20825.86,924,465,459,3.8,57120.5
531,540,PUTNAM VALLEY CSD,97,1,26817.67,1598,808,790,31.5,117689
532,542,QUEENSBURY UFSD,90,3,16548.22,3135,1622,1513,7,62680.8
535,545,RANDOLPH CSD,99,0,18397.12,846,421,425,11,47460.4
536,546,RAVENA-COEYMANS-SELKIRK CSD,88,6,18848.63,1768,895,873,19.1,78473.9
537,547,RED CREEK CSD,88,10,21345.38,783,424,359,5,54821.5
538,548,RED HOOK CSD,91,4,24227.11,1766,918,848,16.5,86355.9
539,549,REMSEN CSD,87,0,26257.19,405,216,189,3.5,71187.4
541,551,RENSSELAER CITY SCHOOL DISTRICT,84,5,17978,1028,524,504,44.6,77000
542,552,RHINEBECK CSD,93,1,30026.67,944,466,478,16.9,89250.5
543,553,RICHFIELD SPRINGS CSD,92,8,24034.39,402,223,179,5.5,57788.7
545,556,RIVERHEAD CSD,76,13,18810.89,5829,3028,2801,67,82145
546,557,ROCHESTER CITY SCHOOL DISTRICT,68,13,19885.5,25017,12904,12113,90.4,53004.4
547,558,ROCKVILLE CENTRE UFSD,98,0,29490.95,3579,1855,1724,26.5,107137
548,559,ROCKY POINT UFSD,95,4,24991,2905,1441,1464,22.1,119852.8
549,560,ROME CITY SCHOOL DISTRICT,82,8,17823.87,5320,2736,2584,21,64102.1
550,561,ROMULUS CSD,82,6,20890.39,434,210,224,11.1,55966.8
551,562,RONDOUT VALLEY CSD,88,8,28695.99,1869,978,891,15.9,71359.3
552,563,ROOSEVELT UFSD,75,16,20300.43,3346,1780,1566,99.9,112783.2
553,564,ROSCOE CSD,89,0,30693.78,220,120,100,13.6,55007.2
554,565,ROSLYN UFSD,99,1,29181.7,3195,1622,1573,32.2,165746
555,566,ROTTERDAM-MOHONASEN CSD,91,3,15118.77,2798,1418,1380,23.9,63371
556,567,ROXBURY CSD,86,0,34739.37,239,112,127,4.2,60713
557,568,ROYALTON-HARTLAND CSD,92,6,16056.73,1206,587,619,8.7,68789
558,569,RUSH-HENRIETTA CSD,92,3,19635.2,5387,2725,2662,42.6,85732
559,570,RYE CITY SCHOOL DISTRICT,96,0,25422.18,3234,1670,1564,20.6,140148.3
560,571,RYE NECK UFSD,93,1,22836.77,1572,809,763,37.5,146139
561,572,SACHEM CSD,94,2,20861.5,12351,6266,6085,30,108960.8
562,573,SACKETS HARBOR CSD,90,5,18003.63,418,204,214,10.8,62790.8
563,574,SAG HARBOR UFSD,89,3,38192.07,919,461,458,27.7,98489
565,576,SALAMANCA CITY SCHOOL DISTRICT,79,3,24617.42,1213,628,585,50.5,45555.2
566,577,SALEM CSD,78,12,19489.37,524,286,238,5.3,66846.8
567,578,SALMON RIVER CSD,85,6,26274.61,1389,703,686,67.7,48057.6
568,579,SANDY CREEK CSD,90,3,25117.81,742,396,346,4.6,57632.4
569,580,SARANAC CSD,90,7,22036.63,1395,714,681,3.6,62700.3
570,581,SARANAC LAKE CSD,93,4,24587.99,1150,602,548,2.8,63221.1
571,582,SARATOGA SPRINGS CITY SCHOOL DISTRICT,92,4,17059.93,6248,3164,3084,11.8,84608.2
572,583,SAUGERTIES CSD,84,10,21994.66,2449,1205,1244,24.6,57250.5
573,584,SAUQUOIT VALLEY CSD,93,3,17140.41,943,463,480,7.6,67379.9
574,585,SAYVILLE UFSD,97,0,27033.14,2822,1445,1377,12.9,116648
575,586,SCARSDALE UFSD,98,1,28842.09,4749,2450,2299,36.4,151912
576,587,SCHALMONT CSD,90,4,18953.56,1799,940,859,14.7,77453.1
577,588,SCHENECTADY CITY SCHOOL DISTRICT,74,11,18266,9243,4779,4464,79.6,59576
578,589,SCHENEVUS CSD,81,9,21163.27,330,177,153,5.8,60163.8
579,590,SCHODACK CSD,97,0,21104.26,900,465,435,7.9,91121.2
580,591,SCHOHARIE CSD,89,4,20304.39,889,469,420,5.5,66572.6
581,592,SCHROON LAKE CSD,100,0,25128.01,259,136,123,1.5,63459.4
582,593,SCHUYLERVILLE CSD,96,2,19497.47,1517,770,747,4.9,74302.6
583,594,SCIO CSD,81,16,25594.63,302,165,137,3,47109.7
584,595,SCOTIA-GLENVILLE CSD,88,6,19185.24,2371,1257,1114,10.3,63474.5
585,596,SEAFORD UFSD,95,2,26115.27,2247,1146,1101,12.4,137155
586,597,SENECA FALLS CSD,87,6,16786.23,1198,618,580,17.9,53409
588,599,SHARON SPRINGS CSD,94,6,38377.69,226,109,117,7.1,55067.4
589,600,SHELTER ISLAND UFSD,96,4,48559.74,192,99,93,33.9,98213
590,601,SHENENDEHOWA CSD,92,3,15279.98,9535,4806,4729,25.3,89906
591,602,SHERBURNE-EARLVILLE CSD,86,3,20802.82,1286,670,616,3.9,52390.4
592,603,SHERMAN CSD,91,3,20545.12,402,217,185,4,55302.8
593,604,SHERRILL CITY SCHOOL DISTRICT,95,3,16933.8,1805,951,854,5.2,66556.1
594,605,SHOREHAM-WADING RIVER CSD,94,1,26463.85,2039,1042,997,13.3,107032.2
595,606,SIDNEY CSD,93,4,19569.51,1057,550,507,13.3,49572.9
596,607,SILVER CREEK CSD,89,4,19547.02,1022,495,527,28.8,49337
597,608,SKANEATELES CSD,94,2,19456.71,1283,682,601,6,72358.3
598,609,SMITHTOWN CSD,95,0,24979.97,8398,4222,4176,19.6,122502.7
599,610,SODUS CSD,86,4,20747.89,965,512,453,40.6,58886.4
600,611,SOLVAY UFSD,89,1,18811.28,1380,695,685,28.6,58748
601,612,SOMERS CSD,94,0,27456.96,2862,1465,1397,16.9,140010.2
602,613,SOUTH COLONIE CSD,94,2,18621.48,4671,2335,2336,35.5,79064.1
603,614,SOUTH COUNTRY CSD,83,8,26730.96,4065,2111,1954,63.1,91574.8
604,615,SOUTH GLENS FALLS CSD,88,5,15609.87,2916,1522,1394,8.5,72290.7
605,616,SOUTH HUNTINGTON UFSD,89,3,23839.17,5849,3047,2802,62.1,126591
606,617,SOUTH JEFFERSON CSD,88,3,15009.88,1814,904,910,6,62194
607,618,SOUTH KORTRIGHT CSD,94,0,20685.26,330,170,160,7.3,59543.1
608,619,SOUTH LEWIS CSD,85,6,21091.9,976,493,483,5.1,57142.7
609,620,SOUTH ORANGETOWN CSD,93,2,27002.95,2910,1436,1474,32.4,122988
610,621,SOUTH SENECA CSD,90,7,28768.85,618,291,327,5,60471.5
611,622,SOUTHAMPTON UFSD,89,2,35375.27,1471,777,694,55.6,126957.2
612,623,SOUTHERN CAYUGA CSD,86,9,20456.5,664,331,333,17.5,70813.8
613,624,SOUTHOLD UFSD,87,9,34388.43,769,417,352,37.7,97076
614,625,SOUTHWESTERN CSD AT JAMESTOWN,92,4,16269.54,1300,703,597,12.2,52045.2
615,626,SPACKENKILL UFSD,90,4,28094.81,1448,751,697,41.9,68081
616,627,SPENCER-VAN ETTEN CSD,81,8,21091.38,831,420,411,5.1,57482.9
617,628,SPENCERPORT CSD,91,4,18387.91,3618,1876,1742,20.4,70703
621,633,STAMFORD CSD,71,10,25978.35,263,117,146,7.2,53572.1
622,634,STARPOINT CSD,93,3,14872.59,2911,1468,1443,6.8,69500
623,635,STILLWATER CSD,84,11,19288.45,1014,509,505,5.7,82021.4
624,636,STOCKBRIDGE VALLEY CSD,90,7,20271.97,410,205,205,7.3,55979.5
625,637,SUFFERN CSD,92,4,27125.39,4012,2024,1988,49.2,91666
626,638,SULLIVAN WEST CSD,90,8,26133.65,1014,532,482,15.1,63396.9
627,639,SUSQUEHANNA VALLEY CSD,87,7,20962.12,1426,748,678,10.4,54191.2
628,640,SWEET HOME CSD,94,3,19798.51,3261,1742,1519,37.7,74452.6
629,641,SYOSSET CSD,99,0,30765.31,6580,3414,3166,47.9,151591.5
630,642,SYRACUSE CITY SCHOOL DISTRICT,71,11,19030.39,19011,9916,9095,78.1,49428.5
631,643,TACONIC HILLS CSD,75,12,24336.16,1205,612,593,20.2,71588.8
632,644,THOUSAND ISLANDS CSD,95,3,19397.93,867,425,442,8.4,57228.6
633,645,THREE VILLAGE CSD,96,1,31655.63,5809,2922,2887,22.9,124953.4
634,646,TICONDEROGA CSD,91,5,23812.19,682,361,321,1.9,80308.2
635,647,TIOGA CSD,91,4,15563.69,886,446,440,2.9,59570.1
636,648,TONAWANDA CITY SCHOOL DISTRICT,93,3,16138.8,1729,880,849,13,58954
637,649,TOWN OF WEBB UFSD,100,0,26872.8,259,136,123,3.5,65457.2
638,650,TRI-VALLEY CSD,75,19,27786.88,930,495,435,18.9,58629.6
639,651,TROY CITY SCHOOL DISTRICT,88,7,19801.65,3842,1927,1915,60.3,57325
640,652,TRUMANSBURG CSD,91,0,20889.47,999,514,485,14.6,56880.2
642,654,TUCKAHOE UFSD,99,0,25010.58,1184,615,569,33.6,110517.8
643,655,TULLY CSD,81,3,19646.46,737,391,346,6.5,72185.5
644,656,TUPPER LAKE CSD,89,2,20549.25,712,365,347,6,55435.5
645,657,TUXEDO UFSD,100,0,45079.45,222,111,111,35.6,103987
647,659,UNADILLA VALLEY CSD,84,3,22294.87,758,368,390,4.5,53665.1
648,660,UNION SPRINGS CSD,94,0,18831.95,791,431,360,10.4,66015.2
649,661,UNION-ENDICOTT CSD,88,5,18861.64,3569,1795,1774,32.1,57793.5
650,662,UNIONDALE UFSD,78,11,24253.37,6748,3438,3310,98.5,111490.7
651,663,UTICA CITY SCHOOL DISTRICT,73,13,15176.09,9738,4917,4821,70.9,55937.3
652,664,VALHALLA UFSD,93,1,30131.68,1387,706,681,46,106481
653,665,VALLEY CSD (MONTGOMERY),92,4,21709.36,4131,2073,2058,39.5,91179.4
659,671,VESTAL CSD,93,2,18422.74,3291,1695,1596,22.8,65047.7
660,672,VICTOR CSD,95,2,13662.02,4272,2140,2132,17.4,82661.3
661,673,VOORHEESVILLE CSD,96,2,17552.5,1180,581,599,10,96354.5
663,675,WALLKILL CSD,90,3,21761.44,2831,1482,1349,34.8,77384.9
664,676,WALTON CSD,86,11,20436.21,866,433,433,4.4,54078
665,677,WANTAGH UFSD,98,0,24819,2770,1397,1373,14.9,143313
666,678,WAPPINGERS CSD,94,3,19359.75,10645,5511,5134,31.2,90151.1
667,679,WARRENSBURG CSD,85,8,23590.05,662,352,310,6.3,64830.4
668,680,WARSAW CSD,92,7,18447.56,820,390,430,8.4,59166.6
669,681,WARWICK VALLEY CSD,95,1,18948.67,3569,1818,1751,25.2,101545.5
670,682,WASHINGTONVILLE CSD,94,2,20640.42,3801,1904,1897,40.3,104425.2
671,683,WATERFORD-HALFMOON UFSD,90,5,23921.21,752,385,367,10,70068
672,684,WATERLOO CSD,90,4,20639.44,1538,784,754,12.5,54392.7
673,685,WATERTOWN CITY SCHOOL DISTRICT,77,14,14799.55,3972,2061,1911,30.8,53675.7
674,686,WATERVILLE CSD,93,0,19097.1,741,395,346,2.6,69413.4
675,687,WATERVLIET CITY SCHOOL DISTRICT,88,7,13712.89,1296,697,599,54.3,52722
676,688,WATKINS GLEN CSD,95,1,21000.88,983,508,475,8.6,59327.6
677,689,WAVERLY CSD,90,8,17881.28,1442,713,729,4.9,54707.5
678,690,WAYLAND-COHOCTON CSD,94,4,19889.88,1247,621,626,3.6,56342.6
679,691,WAYNE CSD,92,4,18290.82,2127,1095,1032,6.9,80629.7
680,692,WEBSTER CSD,95,1,17463.98,8151,4194,3957,17.3,75512
681,693,WEEDSPORT CSD,96,2,21378.37,725,365,360,8,57784
682,694,WELLS CSD,89,6,32101.51,135,83,52,3,61267
683,695,WELLSVILLE CSD,82,6,19328.04,1077,527,550,5.6,54473.6
684,696,WEST BABYLON UFSD,92,4,24688.51,3705,1867,1838,41.9,108718.3
685,697,WEST CANADA VALLEY CSD,96,2,21996.67,650,306,344,4,58483
686,698,WEST GENESEE CSD,95,0,16351.6,4483,2312,2171,14.1,76938
687,699,WEST HEMPSTEAD UFSD,89,6,27633.69,1759,930,829,77.2,110161
688,700,WEST IRONDEQUOIT CSD,93,2,17041.73,3620,1885,1735,29.8,51638
689,701,WEST ISLIP UFSD,98,0,24902.21,4006,2097,1909,17.2,116003
690,703,WEST SENECA CSD,91,4,16393.8,6214,3178,3036,15,59280
691,704,WEST VALLEY CSD,79,14,36386.31,190,98,92,4.7,58744.2
692,705,WESTBURY UFSD,84,11,24100.6,4979,2569,2410,98,152112
693,706,WESTFIELD CSD,80,4,22096.84,632,308,324,9.3,49503.3
694,707,WESTHAMPTON BEACH UFSD,93,3,25836.22,1820,950,870,35.7,113387.3
695,708,WESTHILL CSD,96,3,17204.54,1778,841,937,16.4,66212.5
696,709,WESTMORELAND CSD,95,0,20977.82,853,421,432,5,65308.9
697,711,WHEATLAND-CHILI CSD,88,3,24615.3,636,305,331,30.2,67558
699,713,WHITE PLAINS CITY SCHOOL DISTRICT,91,3,27671.34,7069,3564,3505,78.1,106715.3
700,714,WHITEHALL CSD,76,16,20970.97,703,346,357,2.8,64743.8
701,715,WHITESBORO CSD,94,4,17518.67,3143,1602,1541,10.1,65544.6
702,716,WHITESVILLE CSD,93,0,25735.4,179,90,89,2.8,45024.7
703,717,WHITNEY POINT CSD,78,6,20246.09,1329,672,657,3,55161.9
704,718,WILLIAM FLOYD UFSD,89,4,20200.92,8837,4514,4323,59.9,93855.7
705,719,WILLIAMSON CSD,94,1,18664.46,984,512,472,18.9,71056
706,720,WILLIAMSVILLE CSD,95,2,16128.34,9913,5014,4899,26.9,89129.3
707,721,WILLSBORO CSD,80,5,29014.65,229,108,121,8.7,60185.2
708,722,WILSON CSD,91,8,19651.21,1042,545,497,9,63643.7
709,723,WINDHAM-ASHLAND-JEWETT CSD,95,5,30935.23,291,155,136,15.5,53107
710,724,WINDSOR CSD,92,4,20400.27,1528,778,750,9,55349.8
711,725,WORCESTER CSD,100,0,22629.71,320,149,171,2.5,54057.5
712,726,WYANDANCH UFSD,56,17,21454.95,2700,1381,1319,99,98069
715,729,YONKERS CITY SCHOOL DISTRICT,91,3,18820.45,24633,12524,12109,84.5,94866.4
716,730,YORK CSD,97,2,19869.81,688,377,311,5.4,61273.5
717,731,YORKSHIRE-PIONEER CSD,89,6,17445.73,2307,1196,1111,5,58648.5
718,732,YORKTOWN CSD,97,1,24424.21,3401,1775,1626,27.8,115881.2
